condensate_id	condensate_name	member_count	methyl_protein_count	methyl_fraction_within_condensate	expected_methyl_count_at_global_rate	odds_ratio	log2_odds_ratio	p_value	q_value
6F24707C	Cajal body	76	39	0.5131578947368421	36.57651895842851	1.1378647973571832	0.18632914484109556	0.6435393166597776	0.8197776089863689
24B72B50	Histone Locus Body	8	4	0.5	3.8501598903608953	1.0779652959353458	0.10831073264709525	1.0	1.0
8C2F96ED	Centrosome	552	245	0.4438405797101449	265.66103243490176	0.8420970153325694	-0.24794164369010874	0.06180476398507996	0.1545119099626999
B15FE1AF	Hippo signalosome	7	3	0.42857142857142855	3.3688899040657834	0.8380190596869143	-0.25494503830987886	1.0	1.0
F3208D05	Golgin condensate	7	3	0.42857142857142855	3.3688899040657834	0.8380190596869143	-0.25494503830987886	1.0	1.0
F345034F	Signaling cluster	23	10	0.43478260869565216	11.069209684787575	0.8374784796715666	-0.2558759762743779	0.6818027237517259	0.8197776089863689
AA62C26E	ORC1 bodies	5	2	0.4	2.4063499314755594	0.769583064762357	-0.37785104298859146	1.0	1.0
CCFFAF5A	Junctional condensate	5	2	0.4	2.4063499314755594	0.769583064762357	-0.37785104298859146	1.0	1.0
5965E019	mtRNA granule	42	16	0.38095238095238093	20.2133394243947	0.6684874537097596	-0.5810276110692081	0.21597496333185573	0.41138088253686805
F701F3BC	PcG body	14	5	0.35714285714285715	6.737779808131567	0.6230051943175418	-0.6826839030908648	0.427825529614395	0.6576775205334393
437BC32B	TIFA-TRAF6 Condensate	7	2	0.2857142857142857	3.3688899040657834	0.4893029079683081	-1.0312002380330436	0.45505257635685814	0.6576775205334393
3625CB60	SOSS-INTAC Condensate	5	1	0.2	2.4063499314755594	0.3588100324392753	-1.4787078658675257	0.3764687570239177	0.6547282730850743
