canonical_UniProtAC	condensate_id	condensate_name	condensate_type
Q5JVS0	462A97B5	Leucocyte nuclear body	biomolecular
Q7Z3E1	462A97B5	Leucocyte nuclear body	biomolecular
O43791	462A97B5	Leucocyte nuclear body	biomolecular
Q9UPQ9	C5843A5F	miRISC condensate	biomolecular
P05067	9F779CC8	Nuclear body	biomolecular
Q13342	462A97B5	Leucocyte nuclear body	biomolecular
Q00613	38EC0B30	Transcriptional condensate	biomolecular
Q14149	353F5E6C	MORC3 nuclear body	biomolecular
Q04726	62EA6512	Sam68 nuclear body	biomolecular
P14866	62EA6512	Sam68 nuclear body	biomolecular
Q16082	9F779CC8	Nuclear body	biomolecular
Q14103	62EA6512	Sam68 nuclear body	biomolecular
P09651	62EA6512	Sam68 nuclear body	biomolecular
Q9GZV5	38EC0B30	Transcriptional condensate	biomolecular
P50750	38EC0B30	Transcriptional condensate	biomolecular
P08047	38EC0B30	Transcriptional condensate	biomolecular
B1PRL2	38EC0B30	Transcriptional condensate	biomolecular
P35222	38EC0B30	Transcriptional condensate	biomolecular
P31271	38EC0B30	Transcriptional condensate	biomolecular
Q15059	38EC0B30	Transcriptional condensate	biomolecular
Q15648	38EC0B30	Transcriptional condensate	biomolecular
Q01844	38EC0B30	Transcriptional condensate	biomolecular
Q13950	38EC0B30	Transcriptional condensate	biomolecular
P20226	38EC0B30	Transcriptional condensate	biomolecular
P35453	38EC0B30	Transcriptional condensate	biomolecular
Q13627	38EC0B30	Transcriptional condensate	biomolecular
P40763	38EC0B30	Transcriptional condensate	biomolecular
Q9Y2X0	38EC0B30	Transcriptional condensate	biomolecular
O60885	38EC0B30	Transcriptional condensate	biomolecular
P03372	38EC0B30	Transcriptional condensate	biomolecular
Q16236	38EC0B30	Transcriptional condensate	biomolecular
Q16198	38EC0B30	Transcriptional condensate	biomolecular
Q15561	38EC0B30	Transcriptional condensate	biomolecular
Q13501	718A9EC3	P62 body	biomolecular
Q9UPQ9	9DBB3093	GW-body	biomolecular
P46937	38EC0B30	Transcriptional condensate	biomolecular
P23771	462A97B5	Leucocyte nuclear body	biomolecular
P08621	462A97B5	Leucocyte nuclear body	biomolecular
Q12888	462A97B5	Leucocyte nuclear body	biomolecular
Q9UER7	462A97B5	Leucocyte nuclear body	biomolecular
P02545	462A97B5	Leucocyte nuclear body	biomolecular
Q14103	462A97B5	Leucocyte nuclear body	biomolecular
Q15648	462A97B5	Leucocyte nuclear body	biomolecular
Q01844	462A97B5	Leucocyte nuclear body	biomolecular
O60885	462A97B5	Leucocyte nuclear body	biomolecular
Q12988	462A97B5	Leucocyte nuclear body	biomolecular
P43243	462A97B5	Leucocyte nuclear body	biomolecular
P09651	462A97B5	Leucocyte nuclear body	biomolecular
P06401	462A97B5	Leucocyte nuclear body	biomolecular
P15502	BB244C6C	Elastin granule	biomolecular
Q07666	62EA6512	Sam68 nuclear body	biomolecular
P61978	62EA6512	Sam68 nuclear body	biomolecular
Q9BXY0	62EA6512	Sam68 nuclear body	biomolecular
Q96MU7	62EA6512	Sam68 nuclear body	biomolecular
P38159	62EA6512	Sam68 nuclear body	biomolecular
Q15424	62EA6512	Sam68 nuclear body	biomolecular
Q5VWX1	62EA6512	Sam68 nuclear body	biomolecular
Q8NEJ9	62EA6512	Sam68 nuclear body	biomolecular
Q07352	ACCC2039	TIS granule	biomolecular
Q92804	38EC0B30	Transcriptional condensate	biomolecular
Q16082	462A97B5	Leucocyte nuclear body	biomolecular
Q07889	36896B46	T-cell signalosome	biomolecular
Q9UKV8	C5843A5F	miRISC condensate	biomolecular
P84022	38EC0B30	Transcriptional condensate	biomolecular
Q01860	38EC0B30	Transcriptional condensate	biomolecular
P23771	38EC0B30	Transcriptional condensate	biomolecular
P62993	36896B46	T-cell signalosome	biomolecular
O43561	36896B46	T-cell signalosome	biomolecular
Q8NDV7	9DBB3093	GW-body	biomolecular
Q9UKV8	9DBB3093	GW-body	biomolecular
P45973	B57B8AD8	Heterochromatin	biomolecular
Q14781	B57B8AD8	Heterochromatin	biomolecular
Q92804	462A97B5	Leucocyte nuclear body	biomolecular
Q8N163	62EA6512	Sam68 nuclear body	biomolecular
Q14151	62EA6512	Sam68 nuclear body	biomolecular
Q8TC44	03D56D03	Tau Condensate	biomolecular
Q6ZN04	CA00D4B7	MEX3B granule	biomolecular
O75817	B75B0A5E	SMN-Rpp20 complex	biomolecular
Q13094	F345034F	Signaling cluster	biomolecular
Q92621	D6A53B8E	Nuclear pore complex	biomolecular
A8CG34	D6A53B8E	Nuclear pore complex	biomolecular
Q8WYP5	D6A53B8E	Nuclear pore complex	biomolecular
Q96EP5	2B1872D5	Balbiani body	biomolecular
Q92499	6F9FB6EF	Cleavage body	biomolecular
Q8WUA4	38EC0B30	Transcriptional condensate	biomolecular
P23246	38EC0B30	Transcriptional condensate	biomolecular
Q15233	38EC0B30	Transcriptional condensate	biomolecular
P33240	6F9FB6EF	Cleavage body	biomolecular
Q6ZRY4	2B1872D5	Balbiani body	biomolecular
Q6P158	38EC0B30	Transcriptional condensate	biomolecular
Q9BW27	D6A53B8E	Nuclear pore complex	biomolecular
Q92499	5B6CCA73	DDX1 body	biomolecular
Q8WVC0	38EC0B30	Transcriptional condensate	biomolecular
Q9Y5Q8	38EC0B30	Transcriptional condensate	biomolecular
P63104	03D56D03	Tau Condensate	biomolecular
P33240	5B6CCA73	DDX1 body	biomolecular
Q96J94	278829DE	Chromatoid body	biomolecular
Q9H6R0	975B8A70	Inflammasome	biomolecular
Q8IUD2	F345034F	Signaling cluster	biomolecular
P52948	D6A53B8E	Nuclear pore complex	biomolecular
O00401	F345034F	Signaling cluster	biomolecular
Q8WV28	F345034F	Signaling cluster	biomolecular
Q8NAV1	38EC0B30	Transcriptional condensate	biomolecular
Q14764	D6A53B8E	Nuclear pore complex	biomolecular
Q9NR21	D6A53B8E	Nuclear pore complex	biomolecular
Q96HA1	D6A53B8E	Nuclear pore complex	biomolecular
P55735	D6A53B8E	Nuclear pore complex	biomolecular
O60318	D6A53B8E	Nuclear pore complex	biomolecular
Q9NPA8	D6A53B8E	Nuclear pore complex	biomolecular
Q9NRG9	D6A53B8E	Nuclear pore complex	biomolecular
Q9BXS6	D6A53B8E	Nuclear pore complex	biomolecular
P49792	D6A53B8E	Nuclear pore complex	biomolecular
P57740	D6A53B8E	Nuclear pore complex	biomolecular
P12270	D6A53B8E	Nuclear pore complex	biomolecular
P49790	D6A53B8E	Nuclear pore complex	biomolecular
Q12769	D6A53B8E	Nuclear pore complex	biomolecular
Q9UKX7	D6A53B8E	Nuclear pore complex	biomolecular
Q8WUM0	D6A53B8E	Nuclear pore complex	biomolecular
Q8TD16	D6A53B8E	Nuclear pore complex	biomolecular
Q9HC62	D6A53B8E	Nuclear pore complex	biomolecular
Q9NQI0	45FBF2D1	Nuage	biomolecular
O75791	F345034F	Signaling cluster	biomolecular
Q08881	F345034F	Signaling cluster	biomolecular
O75643	38EC0B30	Transcriptional condensate	biomolecular
Q9P2I0	6F9FB6EF	Cleavage body	biomolecular
P10636	03D56D03	Tau Condensate	biomolecular
Q9UBU9	38EC0B30	Transcriptional condensate	biomolecular
Q96B97	F345034F	Signaling cluster	biomolecular
Q6PIF6	F345034F	Signaling cluster	biomolecular
Q14432	F345034F	Signaling cluster	biomolecular
Q13136	F345034F	Signaling cluster	biomolecular
O43561	F345034F	Signaling cluster	biomolecular
P18031	F345034F	Signaling cluster	biomolecular
Q86SQ0	F345034F	Signaling cluster	biomolecular
Q495M9	F345034F	Signaling cluster	biomolecular
Q9Y2X7	F345034F	Signaling cluster	biomolecular
Q53GS7	D6A53B8E	Nuclear pore complex	biomolecular
P20226	A0DCDA94	DNA damage foci	biomolecular
Q14676	A0DCDA94	DNA damage foci	biomolecular
Q12888	A0DCDA94	DNA damage foci	biomolecular
Q16533	A0DCDA94	DNA damage foci	biomolecular
Q10570	24B72B50	Histone Locus Body	biomolecular
Q9UKL3	24B72B50	Histone Locus Body	biomolecular
Q9UPY3	278829DE	Chromatoid body	biomolecular
Q9UKV8	278829DE	Chromatoid body	biomolecular
Q9UPQ9	F85A2E29	IMP1 RNP granule	biomolecular
Q9BQA5	24B72B50	Histone Locus Body	biomolecular
O43390	F85A2E29	IMP1 RNP granule	biomolecular
P0DMV9	F85A2E29	IMP1 RNP granule	biomolecular
P11940	F85A2E29	IMP1 RNP granule	biomolecular
Q92945	F659AEC6	Pericentriolar compartment	biomolecular
Q9P2I0	24B72B50	Histone Locus Body	biomolecular
Q9NZI8	F85A2E29	IMP1 RNP granule	biomolecular
P11308	F85A2E29	IMP1 RNP granule	biomolecular
Q06609	A0DCDA94	DNA damage foci	biomolecular
Q13315	A0DCDA94	DNA damage foci	biomolecular
Q13535	A0DCDA94	DNA damage foci	biomolecular
P78527	A0DCDA94	DNA damage foci	biomolecular
P35637	A0DCDA94	DNA damage foci	biomolecular
Q92966	A0DCDA94	DNA damage foci	biomolecular
P16104	A0DCDA94	DNA damage foci	biomolecular
Q8IUH3	A0DCDA94	DNA damage foci	biomolecular
Q92878	A0DCDA94	DNA damage foci	biomolecular
Q13547	A0DCDA94	DNA damage foci	biomolecular
Q96B01	A0DCDA94	DNA damage foci	biomolecular
Q5SXM2	A0DCDA94	DNA damage foci	biomolecular
Q13487	A0DCDA94	DNA damage foci	biomolecular
Q9UKF6	24B72B50	Histone Locus Body	biomolecular
Q6UN15	24B72B50	Histone Locus Body	biomolecular
Q9NPI6	278829DE	Chromatoid body	biomolecular
Q16637	91E14AE1	U-body	biomolecular
Q14207	24B72B50	Histone Locus Body	biomolecular
P49711	24B72B50	Histone Locus Body	biomolecular
P67809	F85A2E29	IMP1 RNP granule	biomolecular
R4GMX3	F701F3BC	PcG body	biomolecular
Q9BQ52	F701F3BC	PcG body	biomolecular
Q08211	F85A2E29	IMP1 RNP granule	biomolecular
Q06787	D8E9712B	Neuronal RNP granule	biomolecular
O43707	F85A2E29	IMP1 RNP granule	biomolecular
P11142	F85A2E29	IMP1 RNP granule	biomolecular
P50995	D8E9712B	Neuronal RNP granule	biomolecular
Q15233	D8E9712B	Neuronal RNP granule	biomolecular
Q7Z739	D8E9712B	Neuronal RNP granule	biomolecular
O00257	F701F3BC	PcG body	biomolecular
P0DMV8	F85A2E29	IMP1 RNP granule	biomolecular
P62241	F85A2E29	IMP1 RNP granule	biomolecular
Q93062	D8E9712B	Neuronal RNP granule	biomolecular
P35637	D8E9712B	Neuronal RNP granule	biomolecular
Q9Y5A9	D8E9712B	Neuronal RNP granule	biomolecular
Q92804	D8E9712B	Neuronal RNP granule	biomolecular
Q13148	D8E9712B	Neuronal RNP granule	biomolecular
Q00994	D8E9712B	Neuronal RNP granule	biomolecular
Q13283	D8E9712B	Neuronal RNP granule	biomolecular
Q17RY0	D8E9712B	Neuronal RNP granule	biomolecular
Q9BYJ9	D8E9712B	Neuronal RNP granule	biomolecular
Q14444	D8E9712B	Neuronal RNP granule	biomolecular
Q9Y224	D8E9712B	Neuronal RNP granule	biomolecular
Q92833	F701F3BC	PcG body	biomolecular
Q14781	F701F3BC	PcG body	biomolecular
O43663	F701F3BC	PcG body	biomolecular
O75530	F701F3BC	PcG body	biomolecular
Q8IXK0	F701F3BC	PcG body	biomolecular
P49711	F701F3BC	PcG body	biomolecular
Q14190	F701F3BC	PcG body	biomolecular
Q06587	F701F3BC	PcG body	biomolecular
Q15910	F701F3BC	PcG body	biomolecular
Q6ZN18	F701F3BC	PcG body	biomolecular
Q13310	F85A2E29	IMP1 RNP granule	biomolecular
P46781	F85A2E29	IMP1 RNP granule	biomolecular
Q14103	F85A2E29	IMP1 RNP granule	biomolecular
P05388	F85A2E29	IMP1 RNP granule	biomolecular
Q09161	F85A2E29	IMP1 RNP granule	biomolecular
P23396	F85A2E29	IMP1 RNP granule	biomolecular
Q99729	F85A2E29	IMP1 RNP granule	biomolecular
P60709	F85A2E29	IMP1 RNP granule	biomolecular
P14866	F85A2E29	IMP1 RNP granule	biomolecular
Q00839	F85A2E29	IMP1 RNP granule	biomolecular
P61247	F85A2E29	IMP1 RNP granule	biomolecular
Q9UKV8	F85A2E29	IMP1 RNP granule	biomolecular
P62701	F85A2E29	IMP1 RNP granule	biomolecular
Q06787	F85A2E29	IMP1 RNP granule	biomolecular
P22626	F85A2E29	IMP1 RNP granule	biomolecular
O60506	F85A2E29	IMP1 RNP granule	biomolecular
Q86U42	F85A2E29	IMP1 RNP granule	biomolecular
Q92793	6F24707C	Cajal body	biomolecular
Q6NT76	6F24707C	Cajal body	biomolecular
Q8N5A5	6F24707C	Cajal body	biomolecular
Q14207	6F24707C	Cajal body	biomolecular
Q8IYM9	6F24707C	Cajal body	biomolecular
Q96RS0	6F24707C	Cajal body	biomolecular
Q96HW7	6F24707C	Cajal body	biomolecular
P35269	6F24707C	Cajal body	biomolecular
Q14331	6F24707C	Cajal body	biomolecular
O95402	6F24707C	Cajal body	biomolecular
P63162	6F24707C	Cajal body	biomolecular
O95453	6F24707C	Cajal body	biomolecular
O14746	6F24707C	Cajal body	biomolecular
Q9H633	6F24707C	Cajal body	biomolecular
Q5W0Q7	6F24707C	Cajal body	biomolecular
O14980	6F24707C	Cajal body	biomolecular
Q9UBY9	6F24707C	Cajal body	biomolecular
P61289	6F24707C	Cajal body	biomolecular
Q14978	6F24707C	Cajal body	biomolecular
P08579	6F24707C	Cajal body	biomolecular
P63267	6F24707C	Cajal body	biomolecular
Q06787	6F24707C	Cajal body	biomolecular
P08621	6F24707C	Cajal body	biomolecular
P63165	6F24707C	Cajal body	biomolecular
Q9H840	6F24707C	Cajal body	biomolecular
Q9NY26	6F24707C	Cajal body	biomolecular
O94906	6F24707C	Cajal body	biomolecular
P17480	6F24707C	Cajal body	biomolecular
Q9UKL3	6F24707C	Cajal body	biomolecular
Q6IQ16	6F24707C	Cajal body	biomolecular
O14893	6F24707C	Cajal body	biomolecular
P62314	6F24707C	Cajal body	biomolecular
P62308	6F24707C	Cajal body	biomolecular
P38432	6F24707C	Cajal body	biomolecular
Q9NPE3	6F24707C	Cajal body	biomolecular
Q13148	6F24707C	Cajal body	biomolecular
P49368	6F24707C	Cajal body	biomolecular
Q9GZU8	6F24707C	Cajal body	biomolecular
O60832	6F24707C	Cajal body	biomolecular
Q8TEQ6	6F24707C	Cajal body	biomolecular
Q9Y2X3	6F24707C	Cajal body	biomolecular
P09661	6F24707C	Cajal body	biomolecular
Q9NRM2	6F24707C	Cajal body	biomolecular
Q9H089	6F24707C	Cajal body	biomolecular
P62304	6F24707C	Cajal body	biomolecular
Q7L014	6F24707C	Cajal body	biomolecular
Q7Z6G8	6F24707C	Cajal body	biomolecular
Q8WXD5	6F24707C	Cajal body	biomolecular
Q86TB9	6F24707C	Cajal body	biomolecular
Q9Y265	6F24707C	Cajal body	biomolecular
Q14011	6F24707C	Cajal body	biomolecular
P62316	6F24707C	Cajal body	biomolecular
Q99986	6F24707C	Cajal body	biomolecular
Q9NWZ8	6F24707C	Cajal body	biomolecular
Q16637	6F24707C	Cajal body	biomolecular
Q96CJ1	6F24707C	Cajal body	biomolecular
Q9H244	6F24707C	Cajal body	biomolecular
Q96GM8	6F24707C	Cajal body	biomolecular
Q9Y3F4	6F24707C	Cajal body	biomolecular
Q9BPY3	6F24707C	Cajal body	biomolecular
Q96JC9	6F24707C	Cajal body	biomolecular
O00567	6F24707C	Cajal body	biomolecular
Q15020	6F24707C	Cajal body	biomolecular
P35637	6F24707C	Cajal body	biomolecular
Q9Y230	6F24707C	Cajal body	biomolecular
Q9Y4X5	6F24707C	Cajal body	biomolecular
P06493	6F24707C	Cajal body	biomolecular
O43390	1A18FFC4	Paraspeckle	biomolecular
Q92804	1A18FFC4	Paraspeckle	biomolecular
Q96FZ7	1A18FFC4	Paraspeckle	biomolecular
O60479	1A18FFC4	Paraspeckle	biomolecular
Q5HY92	1A18FFC4	Paraspeckle	biomolecular
Q5TGY3	1A18FFC4	Paraspeckle	biomolecular
P51531	1A18FFC4	Paraspeckle	biomolecular
P17028	1A18FFC4	Paraspeckle	biomolecular
Q9H165	1A18FFC4	Paraspeckle	biomolecular
P35637	1A18FFC4	Paraspeckle	biomolecular
Q96EP5	1A18FFC4	Paraspeckle	biomolecular
Q9NRF2	1A18FFC4	Paraspeckle	biomolecular
Q13148	1A18FFC4	Paraspeckle	biomolecular
O75177	1A18FFC4	Paraspeckle	biomolecular
O75494	1A18FFC4	Paraspeckle	biomolecular
Q9ULX6	1A18FFC4	Paraspeckle	biomolecular
Q6NSI3	1A18FFC4	Paraspeckle	biomolecular
Q96J87	1A18FFC4	Paraspeckle	biomolecular
P98170	1A18FFC4	Paraspeckle	biomolecular
Q08211	1A18FFC4	Paraspeckle	biomolecular
V9GYY5	1A18FFC4	Paraspeckle	biomolecular
P61129	1A18FFC4	Paraspeckle	biomolecular
Q9BQ04	1A18FFC4	Paraspeckle	biomolecular
Q9H4Z2	1A18FFC4	Paraspeckle	biomolecular
P31942	1A18FFC4	Paraspeckle	biomolecular
Q05519	1A18FFC4	Paraspeckle	biomolecular
P61978	1A18FFC4	Paraspeckle	biomolecular
Q2YD98	1A18FFC4	Paraspeckle	biomolecular
P13498	1A18FFC4	Paraspeckle	biomolecular
Q5T447	1A18FFC4	Paraspeckle	biomolecular
Q32P51	1A18FFC4	Paraspeckle	biomolecular
P38159	1A18FFC4	Paraspeckle	biomolecular
Q9NTZ6	1A18FFC4	Paraspeckle	biomolecular
Q16630	1A18FFC4	Paraspeckle	biomolecular
P31943	1A18FFC4	Paraspeckle	biomolecular
P04637	1A18FFC4	Paraspeckle	biomolecular
Q96PK6	1A18FFC4	Paraspeckle	biomolecular
Q96KG9	1A18FFC4	Paraspeckle	biomolecular
P15976	1A18FFC4	Paraspeckle	biomolecular
Q8NCA5	1A18FFC4	Paraspeckle	biomolecular
P51532	1A18FFC4	Paraspeckle	biomolecular
Q8N0Y2	1A18FFC4	Paraspeckle	biomolecular
Q14157	1A18FFC4	Paraspeckle	biomolecular
Q9Y2L1	1A18FFC4	Paraspeckle	biomolecular
P52597	1A18FFC4	Paraspeckle	biomolecular
Q03252	1A18FFC4	Paraspeckle	biomolecular
Q8N5P1	1A18FFC4	Paraspeckle	biomolecular
Q8TC92	1A18FFC4	Paraspeckle	biomolecular
Q9Y580	1A18FFC4	Paraspeckle	biomolecular
Q13761	1A18FFC4	Paraspeckle	biomolecular
Q86U42	1A18FFC4	Paraspeckle	biomolecular
P09651	1A18FFC4	Paraspeckle	biomolecular
Q14011	1A18FFC4	Paraspeckle	biomolecular
O43809	1A18FFC4	Paraspeckle	biomolecular
Q9BWF3	1A18FFC4	Paraspeckle	biomolecular
Q9H0B3	1A18FFC4	Paraspeckle	biomolecular
Q5U5Q3	1A18FFC4	Paraspeckle	biomolecular
P98179	1A18FFC4	Paraspeckle	biomolecular
P23246	1A18FFC4	Paraspeckle	biomolecular
Q9BXT4	6F24707C	Cajal body	biomolecular
P48436	1A18FFC4	Paraspeckle	biomolecular
Q8WXF1	1A18FFC4	Paraspeckle	biomolecular
Q9BUJ2	1A18FFC4	Paraspeckle	biomolecular
Q15233	1A18FFC4	Paraspeckle	biomolecular
Q9UI43	5965E019	mtRNA granule	biomolecular
Q96E29	5965E019	mtRNA granule	biomolecular
Q96I99	5965E019	mtRNA granule	biomolecular
Q6IN84	5965E019	mtRNA granule	biomolecular
O95900	5965E019	mtRNA granule	biomolecular
Q6P087	5965E019	mtRNA granule	biomolecular
Q14296	5965E019	mtRNA granule	biomolecular
Q8WVM0	5965E019	mtRNA granule	biomolecular
Q8NE86	5965E019	mtRNA granule	biomolecular
O15091	5965E019	mtRNA granule	biomolecular
Q6PI48	5965E019	mtRNA granule	biomolecular
Q7L2E3	5965E019	mtRNA granule	biomolecular
Q8NC60	5965E019	mtRNA granule	biomolecular
Q9NUL7	5965E019	mtRNA granule	biomolecular
P23368	5965E019	mtRNA granule	biomolecular
Q12849	5965E019	mtRNA granule	biomolecular
Q8IYB8	5965E019	mtRNA granule	biomolecular
O00411	5965E019	mtRNA granule	biomolecular
O75127	5965E019	mtRNA granule	biomolecular
P82933	5965E019	mtRNA granule	biomolecular
Q9NYY8	5965E019	mtRNA granule	biomolecular
Q7L8L6	5965E019	mtRNA granule	biomolecular
Q96CM3	5965E019	mtRNA granule	biomolecular
Q9Y2R9	5965E019	mtRNA granule	biomolecular
Q53R41	5965E019	mtRNA granule	biomolecular
Q9HC36	5965E019	mtRNA granule	biomolecular
Q9HD33	5965E019	mtRNA granule	biomolecular
Q92552	5965E019	mtRNA granule	biomolecular
Q5JTZ9	5965E019	mtRNA granule	biomolecular
Q8WV60	5965E019	mtRNA granule	biomolecular
Q8N983	5965E019	mtRNA granule	biomolecular
O75616	5965E019	mtRNA granule	biomolecular
Q92665	5965E019	mtRNA granule	biomolecular
Q9H5Q4	5965E019	mtRNA granule	biomolecular
Q9NVV4	5965E019	mtRNA granule	biomolecular
Q96TA2	5965E019	mtRNA granule	biomolecular
Q7L0Y3	5965E019	mtRNA granule	biomolecular
Q99714	5965E019	mtRNA granule	biomolecular
Q8TCS8	5965E019	mtRNA granule	biomolecular
Q15759	B5B9A610	PML body	biomolecular
P27694	B5B9A610	PML body	biomolecular
P61956	B5B9A610	PML body	biomolecular
A0A0G2JMS6	B5B9A610	PML body	biomolecular
P01023	B5B9A610	PML body	biomolecular
Q6NT76	B5B9A610	PML body	biomolecular
P15408	B5B9A610	PML body	biomolecular
O43309	B5B9A610	PML body	biomolecular
Q969Q0	B5B9A610	PML body	biomolecular
Q9H2X6	B5B9A610	PML body	biomolecular
Q09472	B5B9A610	PML body	biomolecular
P23497	B5B9A610	PML body	biomolecular
P63165	B5B9A610	PML body	biomolecular
Q14149	B5B9A610	PML body	biomolecular
Q9Y2K1	B5B9A610	PML body	biomolecular
P29590	B5B9A610	PML body	biomolecular
Q6PCD5	B5B9A610	PML body	biomolecular
Q99607	B5B9A610	PML body	biomolecular
P63279	B5B9A610	PML body	biomolecular
Q9HB58	B5B9A610	PML body	biomolecular
Q13501	B5B9A610	PML body	biomolecular
Q8IYW5	B5B9A610	PML body	biomolecular
Q96EP1	B5B9A610	PML body	biomolecular
Q00987	B5B9A610	PML body	biomolecular
P15927	B5B9A610	PML body	biomolecular
Q86UC2	B5B9A610	PML body	biomolecular
Q9UKA9	B5B9A610	PML body	biomolecular
Q16236	B5B9A610	PML body	biomolecular
Q9NVV9	B5B9A610	PML body	biomolecular
Q14191	B5B9A610	PML body	biomolecular
O75150	B5B9A610	PML body	biomolecular
P18887	B5B9A610	PML body	biomolecular
P04150	B5B9A610	PML body	biomolecular
Q6UWX4	B5B9A610	PML body	biomolecular
Q6NX45	B5B9A610	PML body	biomolecular
O75943	B5B9A610	PML body	biomolecular
Q96MF7	B5B9A610	PML body	biomolecular
P00519	B5B9A610	PML body	biomolecular
Q06609	B5B9A610	PML body	biomolecular
G2XKQ0	B5B9A610	PML body	biomolecular
P43004	B5B9A610	PML body	biomolecular
P10276	B5B9A610	PML body	biomolecular
Q6EEV6	B5B9A610	PML body	biomolecular
Q6NXT1	B5B9A610	PML body	biomolecular
P60484	B5B9A610	PML body	biomolecular
P33076	B5B9A610	PML body	biomolecular
P16333	B5B9A610	PML body	biomolecular
P55854	B5B9A610	PML body	biomolecular
Q9UFD9	B5B9A610	PML body	biomolecular
P16104	B5B9A610	PML body	biomolecular
P04637	B5B9A610	PML body	biomolecular
Q9UBP6	B5B9A610	PML body	biomolecular
Q9Y3R0	B5B9A610	PML body	biomolecular
Q674X7	B5B9A610	PML body	biomolecular
Q9Y4E5	B5B9A610	PML body	biomolecular
P10242	B5B9A610	PML body	biomolecular
Q9BW11	B5B9A610	PML body	biomolecular
O75928	B5B9A610	PML body	biomolecular
Q9NS56	B5B9A610	PML body	biomolecular
O14980	B5B9A610	PML body	biomolecular
P07196	B5B9A610	PML body	biomolecular
Q01826	B5B9A610	PML body	biomolecular
P51532	B5B9A610	PML body	biomolecular
Q96K62	B5B9A610	PML body	biomolecular
Q8NBZ0	B5B9A610	PML body	biomolecular
Q15583	B5B9A610	PML body	biomolecular
P11021	B5B9A610	PML body	biomolecular
O75925	B5B9A610	PML body	biomolecular
Q1MSJ5	B5B9A610	PML body	biomolecular
Q96RE7	B5B9A610	PML body	biomolecular
Q92794	B5B9A610	PML body	biomolecular
O15350	B5B9A610	PML body	biomolecular
Q8IZ83	B5B9A610	PML body	biomolecular
Q9NX09	B5B9A610	PML body	biomolecular
P62136	B5B9A610	PML body	biomolecular
Q53H80	B5B9A610	PML body	biomolecular
P10415	B5B9A610	PML body	biomolecular
Q6IE36	B5B9A610	PML body	biomolecular
Q8IYT2	B5B9A610	PML body	biomolecular
Q96SB8	B5B9A610	PML body	biomolecular
Q8NC69	B5B9A610	PML body	biomolecular
Q14974	B5B9A610	PML body	biomolecular
Q86W67	B5B9A610	PML body	biomolecular
Q92793	B5B9A610	PML body	biomolecular
Q8N2W9	B5B9A610	PML body	biomolecular
Q9UBW7	B5B9A610	PML body	biomolecular
Q8IUH3	B5B9A610	PML body	biomolecular
O60269	B5B9A610	PML body	biomolecular
Q8IY18	B5B9A610	PML body	biomolecular
P08047	B5B9A610	PML body	biomolecular
Q6PEW1	B5B9A610	PML body	biomolecular
P78317	B5B9A610	PML body	biomolecular
Q9NRA8	B5B9A610	PML body	biomolecular
P13056	B5B9A610	PML body	biomolecular
Q9Y3M2	B5B9A610	PML body	biomolecular
Q13535	B5B9A610	PML body	biomolecular
O60934	B5B9A610	PML body	biomolecular
Q8NG27	B5B9A610	PML body	biomolecular
P46100	B5B9A610	PML body	biomolecular
P54274	B5B9A610	PML body	biomolecular
P23511	B5B9A610	PML body	biomolecular
Q9ULX6	B5B9A610	PML body	biomolecular
Q9Y3B7	B5B9A610	PML body	biomolecular
Q6VMQ6	B5B9A610	PML body	biomolecular
Q9UER7	B5B9A610	PML body	biomolecular
Q9NQM4	B5B9A610	PML body	biomolecular
Q9NQB0	B5B9A610	PML body	biomolecular
P55072	B5B9A610	PML body	biomolecular
Q14164	B5B9A610	PML body	biomolecular
Q96CJ1	804901D1	Nuclear speckle	biomolecular
Q8TC56	804901D1	Nuclear speckle	biomolecular
Q6ZRV2	804901D1	Nuclear speckle	biomolecular
Q16665	804901D1	Nuclear speckle	biomolecular
P57052	804901D1	Nuclear speckle	biomolecular
Q14966	804901D1	Nuclear speckle	biomolecular
P49841	804901D1	Nuclear speckle	biomolecular
Q16629	804901D1	Nuclear speckle	biomolecular
Q01081	804901D1	Nuclear speckle	biomolecular
Q86U44	804901D1	Nuclear speckle	biomolecular
Q8WYA6	804901D1	Nuclear speckle	biomolecular
P19544	804901D1	Nuclear speckle	biomolecular
Q9NWB1	804901D1	Nuclear speckle	biomolecular
Q96GM8	804901D1	Nuclear speckle	biomolecular
Q9Y6Y0	804901D1	Nuclear speckle	biomolecular
Q15648	804901D1	Nuclear speckle	biomolecular
P51816	804901D1	Nuclear speckle	biomolecular
P18583	804901D1	Nuclear speckle	biomolecular
P17066	804901D1	Nuclear speckle	biomolecular
P82979	804901D1	Nuclear speckle	biomolecular
Q8WWM7	804901D1	Nuclear speckle	biomolecular
Q02040	804901D1	Nuclear speckle	biomolecular
Q8IYF1	804901D1	Nuclear speckle	biomolecular
Q96S94	804901D1	Nuclear speckle	biomolecular
Q96T37	804901D1	Nuclear speckle	biomolecular
O95232	804901D1	Nuclear speckle	biomolecular
P52739	804901D1	Nuclear speckle	biomolecular
Q9UBU9	804901D1	Nuclear speckle	biomolecular
P62995	804901D1	Nuclear speckle	biomolecular
P0C7X2	804901D1	Nuclear speckle	biomolecular
Q8IZD2	804901D1	Nuclear speckle	biomolecular
Q66PJ3	804901D1	Nuclear speckle	biomolecular
Q9UMS4	804901D1	Nuclear speckle	biomolecular
