canonical_UniProtAC	condensate_id	condensate_name	condensate_type
A6NDI0	8C2F96ED	Centrosome	biomolecular
P0CI25	8C2F96ED	Centrosome	biomolecular
Q96BQ3	8C2F96ED	Centrosome	biomolecular
O75382	8C2F96ED	Centrosome	biomolecular
Q9Y2X3	08386919	Dense Fibrillar Component	biomolecular
O95758	232F8A39	P-body	biomolecular
Q14153	1A18FFC4	Paraspeckle	biomolecular
P45973	AA62C26E	ORC1 bodies	infectious
I1YAP6	8C2F96ED	Centrosome	biomolecular
Q86UV6	8C2F96ED	Centrosome	biomolecular
Q86UV7	8C2F96ED	Centrosome	biomolecular
Q9BXT4	225F9C97	IMC (intermitochondrial cement)	biomolecular
O75460	DEE660B4	Stress granule	biomolecular
Q13415	AA62C26E	ORC1 bodies	infectious
O60942	DEE660B4	Stress granule	biomolecular
Q9BZR9	9F779CC8	Nuclear body	biomolecular
P07902	2AFE1BD8	RdRp condensates	infectious
P55769	08386919	Dense Fibrillar Component	biomolecular
O43463	AA62C26E	ORC1 bodies	infectious
P31431	D19EB1EA	SDC4 exosomal condensate	biomolecular
Q9NQI0	2B1872D5	Balbiani body	biomolecular
Q8N684	1A18FFC4	Paraspeckle	biomolecular
Q9H1Q7	1A18FFC4	Paraspeckle	biomolecular
Q8NBT0	03D56D03	Tau Condensate	biomolecular
M0R0X9	02F8D883	IFN-I transcriptional condensate	biomolecular
Q53EP0	232F8A39	P-body	biomolecular
P08670	75451661	Viral Factory	infectious
Q9UIV1	232F8A39	P-body	biomolecular
Q86XN8	232F8A39	P-body	biomolecular
P02787	232F8A39	P-body	biomolecular
Q9BZE4	232F8A39	P-body	biomolecular
O14717	232F8A39	P-body	biomolecular
O75533	232F8A39	P-body	biomolecular
O43781	1EF72FBA	ERES	biomolecular
Q9NX24	08386919	Dense Fibrillar Component	biomolecular
Q02241	232F8A39	P-body	biomolecular
Q96MU7	0C658009	nYAC	biomolecular
P42858	1A18FFC4	Paraspeckle	biomolecular
Q8NG06	8C2F96ED	Centrosome	biomolecular
Q9UER7	DABB4E53	LANA body	infectious
P22087	08386919	Dense Fibrillar Component	biomolecular
Q8NFU7	6F24707C	Cajal body	biomolecular
P26358	AA62C26E	ORC1 bodies	infectious
Q09472	38EC0B30	Transcriptional condensate	biomolecular
O75175	232F8A39	P-body	biomolecular
P43243	232F8A39	P-body	biomolecular
Q14151	232F8A39	P-body	biomolecular
Q9NVP1	232F8A39	P-body	biomolecular
Q14690	232F8A39	P-body	biomolecular
Q96GA3	232F8A39	P-body	biomolecular
O43390	232F8A39	P-body	biomolecular
O15116	232F8A39	P-body	biomolecular
Q96QP1	232F8A39	P-body	biomolecular
O15226	232F8A39	P-body	biomolecular
Q92945	232F8A39	P-body	biomolecular
P47929	232F8A39	P-body	biomolecular
P33993	232F8A39	P-body	biomolecular
Q14980	232F8A39	P-body	biomolecular
Q13310	232F8A39	P-body	biomolecular
B7Z4B8	232F8A39	P-body	biomolecular
O75340	232F8A39	P-body	biomolecular
Q9Y2W1	232F8A39	P-body	biomolecular
Q12955	232F8A39	P-body	biomolecular
Q9Y520	232F8A39	P-body	biomolecular
Q07021	232F8A39	P-body	biomolecular
Q96E39	232F8A39	P-body	biomolecular
Q9UM54	232F8A39	P-body	biomolecular
Q14692	232F8A39	P-body	biomolecular
Q6UWP8	232F8A39	P-body	biomolecular
Q9C0J8	232F8A39	P-body	biomolecular
Q9Y5S9	232F8A39	P-body	biomolecular
H0YMD0	232F8A39	P-body	biomolecular
Q01469	232F8A39	P-body	biomolecular
P27635	232F8A39	P-body	biomolecular
Q9Y2K5	232F8A39	P-body	biomolecular
Q92841	232F8A39	P-body	biomolecular
Q9BVP2	232F8A39	P-body	biomolecular
Q12986	232F8A39	P-body	biomolecular
Q9P2I0	232F8A39	P-body	biomolecular
Q9NX58	232F8A39	P-body	biomolecular
P47710	232F8A39	P-body	biomolecular
Q7Z739	232F8A39	P-body	biomolecular
Q9H7B2	232F8A39	P-body	biomolecular
P14866	232F8A39	P-body	biomolecular
F2Z388	232F8A39	P-body	biomolecular
P60709	232F8A39	P-body	biomolecular
Q9BQA1	232F8A39	P-body	biomolecular
P05089	232F8A39	P-body	biomolecular
Q5QPL9	232F8A39	P-body	biomolecular
E1P5S2	232F8A39	P-body	biomolecular
P07910	232F8A39	P-body	biomolecular
Q9H9G7	232F8A39	P-body	biomolecular
Q14201	232F8A39	P-body	biomolecular
O94832	232F8A39	P-body	biomolecular
Q96LI5	232F8A39	P-body	biomolecular
Q7Z2W4	232F8A39	P-body	biomolecular
P09012	232F8A39	P-body	biomolecular
Q9NW13	232F8A39	P-body	biomolecular
P01876	232F8A39	P-body	biomolecular
Q969Q0	232F8A39	P-body	biomolecular
P28288	232F8A39	P-body	biomolecular
P49748	232F8A39	P-body	biomolecular
P18085	232F8A39	P-body	biomolecular
Q13951	232F8A39	P-body	biomolecular
Q00610	232F8A39	P-body	biomolecular
O60832	232F8A39	P-body	biomolecular
O15371	232F8A39	P-body	biomolecular
P57678	232F8A39	P-body	biomolecular
P55084	232F8A39	P-body	biomolecular
Q9BUJ2	232F8A39	P-body	biomolecular
Q9UHB6	232F8A39	P-body	biomolecular
O94776	232F8A39	P-body	biomolecular
Q6UB35	232F8A39	P-body	biomolecular
Q14764	232F8A39	P-body	biomolecular
P52948	232F8A39	P-body	biomolecular
Q9H307	232F8A39	P-body	biomolecular
