category	target_count	target_fraction	background_count	background_fraction	odds_ratio	log2_odds_ratio	p_value	q_value	ptm_group	context_layer
in_domain	136	0.5811965811965812	106683	0.16315279162664936	7.1079840533097345	2.829440444698503	1.731522538055681e-47	6.926090152222724e-47	Lys methylation	domain
boundary	11	0.04700854700854701	12474	0.019076778144135657	2.645655123028159	1.4036250099442382	0.00579535348986885	0.0077271379864918	Lys methylation	domain
distal	24	0.10256410256410256	62103	0.09497556141456283	1.1090708528539257	0.14935153483758132	0.6557209423940908	0.6557209423940908	Lys methylation	domain
no_domain_annotation	63	0.2692307692307692	472624	0.7227948688146522	0.14200268091082865	-2.81600992783172	7.686262887047756e-47	1.5372525774095512e-46	Lys methylation	domain
distal	17441	0.26382186994206536	178217	0.09879259469907996	3.2691522435349682	1.7089165645871356	0.0	0.0	Phosphorylation	domain
boundary	3348	0.05064363399839659	30147	0.016711651258820223	3.1391454370850664	1.6503718707488857	0.0	0.0	Phosphorylation	domain
in_domain	10125	0.1531561512048284	248017	0.13748544167773957	1.13463887480258	0.18223319933838011	1.158271460859463e-29	1.158271460859463e-29	Phosphorylation	domain
no_domain_annotation	35195	0.5323783448547097	1347570	0.7470103123643602	0.3855684138250978	-1.3749412255922586	0.0	0.0	Phosphorylation	domain
in_domain	199	0.3094867807153966	106620	0.16315849879490416	2.3019877291624535	1.2028801431470941	4.2896347246890635e-20	1.7158538898756254e-19	Ubiquitin/SUMO	domain
boundary	18	0.027993779160186624	12467	0.019078006044607673	1.5206484581735054	0.604686670966118	0.10991516256559249	0.10991516256559249	Ubiquitin/SUMO	domain
distal	38	0.05909797822706065	62089	0.09501358123876201	0.6056194658773157	-0.7235165175800046	0.001205023218812243	0.0016066976250829906	Ubiquitin/SUMO	domain
no_domain_annotation	388	0.6034214618973561	472299	0.7227499139217262	0.5832899564672852	-0.7777148619487614	7.146666235508086e-11	1.4293332471016172e-10	Ubiquitin/SUMO	domain
