side	distance_aa	count_within_distance	total_on_side	fraction_within_distance	expected_count_within_distance	expected_total_site_weighted	expected_fraction_within_distance	obs_minus_expected_fraction
N	186	1393	1994	0.6985957873620863	1412.1067105585876	1994	0.7081778889461322	-0.009582101584045932
N	187	1399	1994	0.70160481444333	1414.8936522080292	1994	0.7095755527623014	-0.007970738318971438
N	188	1401	1994	0.7026078234704113	1417.8210081853845	1994	0.7110436349976853	-0.008435811527274018
N	189	1405	1994	0.7046138415245737	1422.0947525413874	1994	0.7131869370819395	-0.00857309555736574
N	190	1406	1994	0.7051153460381143	1423.5717430946934	1994	0.7139276545108794	-0.00881230847276504
N	191	1410	1994	0.7071213640922769	1425.6406866511377	1994	0.7149652390426969	-0.007843874950420049
N	192	1415	1994	0.7096288866599799	1429.1921578450012	1994	0.716746317876129	-0.0071174312161490505
N	193	1417	1994	0.7106318956870612	1431.2825594627934	1994	0.7177946637225644	-0.0071627680355031975
N	194	1423	1994	0.7136409227683049	1434.5716871605644	1994	0.719444176108608	-0.005803253340303072
N	195	1425	1994	0.7146439317953862	1436.6049800313574	1994	0.7204638816606607	-0.005819949865274454
N	196	1433	1994	0.7186559679037111	1441.1359161353432	1994	0.7227361665673737	-0.004080198663662604
N	197	1435	1994	0.7196589769307924	1443.2577280856594	1994	0.7238002648373417	-0.004141287906549329
N	198	1442	1994	0.7231695085255767	1446.6406435416554	1994	0.7254968122074501	-0.002327303681873394
N	199	1444	1994	0.724172517552658	1448.698034472961	1994	0.7265286030456173	-0.0023560854929592923
N	200	1446	1994	0.7251755265797393	1450.1112161986432	1994	0.7272373200595001	-0.002061793479760876
C	1	15	2421	0.006195786864931847	16.278627271533452	2421	0.0067239270018725535	-0.0005281401369407069
C	2	33	2421	0.013630731102850062	31.41852952848761	2421	0.012977500837871792	0.0006532302649782697
C	3	48	2421	0.01982651796778191	44.70085843205249	2421	0.01846379943496592	0.0013627185328159881
C	4	62	2421	0.02560925237505163	61.123245811939945	2421	0.02524710690290787	0.0003621454721437628
C	5	76	2421	0.03139198678232136	74.40297408545858	2421	0.03073233130336992	0.0006596554789514361
C	6	85	2421	0.03510945890128046	87.79296222058662	2421	0.03626309881065123	-0.0011536399093707642
C	7	101	2421	0.041718298223874434	102.39863539002675	2421	0.042296008009098204	-0.0005777097852237706
C	8	117	2421	0.048327137546468404	118.50192860745653	2421	0.048947512849011374	-0.0006203753025429692
C	9	137	2421	0.056588186699710864	138.29622258302652	2421	0.057123594623307114	-0.0005354079235962497
C	10	152	2421	0.06278397356464271	155.0052900705881	2421	0.0640253160142867	-0.0012413424496439812
C	11	170	2421	0.07021891780256093	172.47526531710037	2421	0.07124133222515505	-0.0010224144225941256
