distance_aa	sites_total	prob_neighbor_within_x	mean_other_methyl_args_within_x	sites_with_neighbor_within_x	ordered_neighbor_pairs_within_x	null_mean_prob_neighbor_within_x	null_sd_prob_neighbor_within_x	null_q025_prob_neighbor_within_x	null_q975_prob_neighbor_within_x	null_mean_other_methyl_args_within_x	null_sd_other_methyl_args_within_x	null_q025_other_methyl_args_within_x	null_q975_other_methyl_args_within_x	empirical_p_greater_prob_neighbor_within_x	empirical_p_greater_other_methyl_args_within_x	delta_prob_neighbor_within_x_vs_null	ratio_prob_neighbor_within_x_vs_null	delta_other_methyl_args_within_x_vs_null	ratio_other_methyl_args_within_x_vs_null	mean_other_modified_sites_within_x	null_mean_other_modified_sites_within_x	delta_other_modified_sites_within_x_vs_null	ratio_other_modified_sites_within_x_vs_null	ptm_group
21	12826	0.530329019179791	1.1858724465928583	6802	15210	0.32587088726025265	0.0035484059237183225	0.32012708560736003	0.3325276781537502	0.6581022922189302	0.008189127496170557	0.6434780913768907	0.6743528769686574	0.009900990099009901	0.009900990099009901	0.20445813191953838	1.627420674606782	0.527770154373928	1.8019576297089621	1.1858724465928583	0.6581022922189302	0.527770154373928	1.8019576297089621	Arg methylation
22	12826	0.535552783408701	1.2243879619522844	6869	15704	0.333485888039919	0.003654293414881158	0.3275670513020427	0.3408818025884921	0.6839279588336191	0.008432301555950726	0.6679985966006549	0.7004015281459535	0.009900990099009901	0.009900990099009901	0.20206689536878203	1.6059233767175005	0.5404600031186653	1.7902294329952146	1.2243879619522844	0.6839279588336191	0.5404600031186653	1.7902294329952146	Arg methylation
23	12826	0.539762981443942	1.2602526118821145	6923	16164	0.34013644160299394	0.0037489241557982123	0.3340051457975986	0.34785396850148137	0.7082597848121004	0.008785519564582131	0.6901528145953532	0.724859660065492	0.009900990099009901	0.009900990099009901	0.19962653984094803	1.5869013590550565	0.5519928270700141	1.7793649151157953	1.2602526118821145	0.7082597848121004	0.5519928270700141	1.7793649151157953	Arg methylation
24	12826	0.5450647123031342	1.2967409948542024	6991	16632	0.3474481521908623	0.003909556016428865	0.3407570559800405	0.3552763917043505	0.7349103383751754	0.009385193597895773	0.7171331670045221	0.7528535786683299	0.009900990099009901	0.009900990099009901	0.19761656011227197	1.568765609677832	0.561830656479027	1.7644887099032884	1.2967409948542024	0.7349103383751754	0.561830656479027	1.7644887099032884	Arg methylation
25	12826	0.550210509901762	1.3310463121783878	7057	17072	0.3538975518478092	0.003896221827774982	0.34673514735693123	0.3613616871978793	0.7610338375175428	0.009530914104128414	0.7440160611258382	0.78029003586465	0.009900990099009901	0.009900990099009901	0.19631295805395282	1.554716914623856	0.5700124746608449	1.7489975432895326	1.3310463121783878	0.7610338375175428	0.5700124746608449	1.7489975432895326	Arg methylation
26	12826	0.5543427413067207	1.3669109621082176	7110	17532	0.3599664743489786	0.0040194063652282536	0.3527463745516919	0.3672793544363013	0.785052237642289	0.009650124161646866	0.7677140184001248	0.8038515515359426	0.009900990099009901	0.009900990099009901	0.19437626695774207	1.5399843619028228	0.5818587244659286	1.7411719839349773	1.3669109621082176	0.785052237642289	0.5818587244659286	1.7411719839349773	Arg methylation
27	12826	0.5584749727116795	1.3990332137845003	7163	17944	0.3656354280368002	0.004080419483285513	0.357835646343365	0.3740644004366131	0.809792608763449	0.009620059594654156	0.7932285981599876	0.8294168096054888	0.009900990099009901	0.009900990099009901	0.19283954467487924	1.5274093533832025	0.5892406050210512	1.7276438419471623	1.3990332137845003	0.809792608763449	0.5892406050210512	1.7276438419471623	Arg methylation
28	12826	0.5621394043349447	1.4342741306720723	7210	18396	0.37163340090441294	0.0040041928530345685	0.36427374083892095	0.37925502884765316	0.8355636987369407	0.00968229274095804	0.8195540308747856	0.8546857944799626	0.009900990099009901	0.009900990099009901	0.19050600343053176	1.5126180880591285	0.5987104319351316	1.716534757122835	1.4342741306720723	0.8355636987369407	0.5987104319351316	1.716534757122835	Arg methylation
29	12826	0.5651021362856697	1.4671760486511773	7248	18818	0.3777795103695618	0.003944211475344996	0.37156946826758147	0.38534617183845316	0.8607937002962731	0.009585347961727584	0.8431896148448464	0.8805863090597225	0.009900990099009901	0.009900990099009901	0.18732262591610793	1.4958517356668182	0.6063823483549042	1.7044456158847305	1.4671760486511773	0.8607937002962731	0.6063823483549042	1.7044456158847305	Arg methylation
30	12826	0.5678309683455481	1.4936847029471387	7283	19158	0.38316934352097304	0.003898007899787017	0.37632933104631217	0.3906186652112896	0.8839357554966475	0.009868132219060816	0.8648253547481678	0.9037462965850616	0.009900990099009901	0.009900990099009901	0.1846616248245751	1.4819321481403105	0.6097489474504912	1.6898113846609792	1.4936847029471387	0.8839357554966475	0.6097489474504912	1.6898113846609792	Arg methylation
