distance_aa	sites_total	prob_neighbor_within_x	mean_other_methyl_args_within_x	sites_with_neighbor_within_x	ordered_neighbor_pairs_within_x	null_mean_prob_neighbor_within_x	null_sd_prob_neighbor_within_x	null_q025_prob_neighbor_within_x	null_q975_prob_neighbor_within_x	null_mean_other_methyl_args_within_x	null_sd_other_methyl_args_within_x	null_q025_other_methyl_args_within_x	null_q975_other_methyl_args_within_x	empirical_p_greater_prob_neighbor_within_x	empirical_p_greater_other_methyl_args_within_x	delta_prob_neighbor_within_x_vs_null	ratio_prob_neighbor_within_x_vs_null	delta_other_methyl_args_within_x_vs_null	ratio_other_methyl_args_within_x_vs_null	mean_other_modified_sites_within_x	null_mean_other_modified_sites_within_x	delta_other_modified_sites_within_x_vs_null	ratio_other_modified_sites_within_x_vs_null	ptm_group
3	234	0.038461538461538464	0.05128205128205128	9	12	0.06547008547008547	0.019004054655463017	0.02564102564102564	0.10705128205128198	0.067008547008547	0.019464416579148904	0.02564102564102564	0.1111111111111111	0.9405940594059405	0.8811881188118812	-0.027008547008547004	0.587467362924282	-0.015726495726495718	0.7653061224489797	0.05128205128205128	0.067008547008547	-0.015726495726495718	0.7653061224489797	Lys methylation
5	234	0.10256410256410256	0.1282051282051282	24	30	0.12474358974358973	0.019576072449992158	0.0875	0.1623931623931624	0.1488034188034188	0.021970932586790094	0.1111111111111111	0.18803418803418803	0.8910891089108911	0.8910891089108911	-0.022179487179487173	0.8221993833504625	-0.020598290598290603	0.861573808156232	0.1282051282051282	0.1488034188034188	-0.020598290598290603	0.861573808156232	Lys methylation
10	234	0.19658119658119658	0.3162393162393162	46	74	0.19256410256410258	0.022975979981293165	0.14732905982905983	0.2330128205128205	0.30692307692307685	0.03214326781253422	0.2564102564102564	0.3634615384615384	0.46534653465346537	0.46534653465346537	0.004017094017093992	1.020861074123391	0.009316239316239372	1.0303536619326095	0.3162393162393162	0.30692307692307685	0.009316239316239372	1.0303536619326095	Lys methylation
20	234	0.3547008547008547	0.717948717948718	83	168	0.2796581196581196	0.023417347678671815	0.23707264957264956	0.32072649572649564	0.5993162393162392	0.04667624458224374	0.5042735042735043	0.6797008547008546	0.009900990099009901	0.009900990099009901	0.07504273504273512	1.2683374083129588	0.11863247863247872	1.1979463776383346	0.717948717948718	0.5993162393162392	0.11863247863247872	1.1979463776383346	Lys methylation
50	234	0.4017094017094017	1.2564102564102564	94	294	0.405940170940171	0.020665271003036088	0.36527777777777776	0.4444444444444444	1.2068376068376068	0.06710156397011378	1.0764957264957264	1.3247863247863247	0.6336633663366337	0.24752475247524752	-0.00423076923076926	0.9895778503000315	0.04957264957264962	1.0410764872521248	1.2564102564102564	1.2068376068376068	0.04957264957264962	1.0410764872521248	Lys methylation
3	66109	0.39982453221195297	0.5577455414542649	26432	36872	0.18800102860427476	0.0016741318738158512	0.18411222375168282	0.19098912402244778	0.22944440242629593	0.002356159789705523	0.22580737872301807	0.23419125988897121	0.009900990099009901	0.009900990099009901	0.2118235036076782	2.1267145992777925	0.328301139027969	2.4308526839456395	0.5577455414542649	0.22944440242629593	0.328301139027969	2.4308526839456395	Phosphorylation
5	66109	0.5127743575004916	0.86333177025821	33899	57074	0.27076237728599745	0.0017783734649631988	0.26717844771513716	0.2743045576245292	0.37446399128711666	0.003089403115081884	0.3686948826937331	0.3798620460149148	0.009900990099009901	0.009900990099009901	0.24201198021449416	1.8938168686518246	0.4888677789710933	2.305513454820436	0.86333177025821	0.37446399128711666	0.4888677789710933	2.305513454820436	Phosphorylation
10	66109	0.629808346821159	1.4149359391308294	41636	93540	0.4067724515572766	0.0017658906421578312	0.4034189747235626	0.4100349422922749	0.7097194028044592	0.004032834972454767	0.7028823609493412	0.7176647657656294	0.009900990099009901	0.009900990099009901	0.22303589526388246	1.54830629362932	0.7052165363263702	1.9936554271162716	1.4149359391308294	0.7097194028044592	0.7052165363263702	1.9936554271162716	Phosphorylation
20	66109	0.7253021525057103	2.2611747265879076	47949	149484	0.5550852380160038	0.0017194473655540552	0.5520583430395257	0.5587907849158208	1.312366546158617	0.005951950660146648	1.3023181412515694	1.3232767096764435	0.009900990099009901	0.009900990099009901	0.17021691448970644	1.3066500472938156	0.9488081804292907	1.7229749822612552	2.2611747265879076	1.312366546158617	0.9488081804292907	1.7229749822612552	Phosphorylation
50	66109	0.821552284862878	4.126427566594564	54312	272794	0.7374265228637554	0.0014253918236431567	0.7348942655311682	0.7398591719735588	2.8842372445506665	0.008885142963154184	2.866461450029497	2.8997035199443344	0.009900990099009901	0.009900990099009901	0.08412576199912258	1.1140801956409498	1.2421903220438972	1.4306824358470613	4.126427566594564	2.8842372445506665	1.2421903220438972	1.4306824358470613	Phosphorylation
