nearest_distance_bin	second_nearest_distance_bin	observed_probability	arginine_null_probability	log2_observed_over_null
5	6	0.0027288320598783723	0.0012159675658818007	1.16617886220942
5	7-8	0.008030562919070637	0.0028077342897239975	1.516094707525861
5	9-10	0.00389833151411196	0.0016273195072508966	1.2603592456193597
5	11-15	0.005535630750038983	0.0026633400904412896	1.055511049658917
5	16-20	0.0021830656479026977	0.0014442538593481995	0.5960311650159974
5	21-30	0.0021830656479026977	0.0020692343676906267	0.07725845646213655
5	31-40	0.00194916575705598	0.001239357554966473	0.6532643171871434
5	41-60	0.0014033993450803055	0.001717448931857165	-0.29134160704647905
5	61-80	0.0017932324964915016	0.0008145953531888341	1.138407059172671
5	81-100	0.0006237330422579137	0.0005426477467643841	0.20091269392599853
5	>100/none	0.011383128021206923	0.002881646655231562	1.9819317072386837
6	1	0.0	0.0	
6	2	0.0	0.0	
6	3	0.0	0.0	
6	4	0.0	0.0	
6	5	0.0	0.0	
6	6	0.0021830656479026977	0.0005142678933416492	2.0857635232822256
6	7-8	0.007952596288788399	0.002387961952284423	1.7356460846620296
6	9-10	0.003430531732418525	0.0015980040542647753	1.1021611429577371
6	11-15	0.008108529549352877	0.00293528769686574	1.4659383975788824
6	16-20	0.003196631841571807	0.001718696397941681	0.895237877447665
6	21-30	0.003196631841571807	0.0019716201465772645	0.6971709693756726
6	31-40	0.0017932324964915016	0.001197567441135194	0.5824556451105816
6	41-60	0.0010135661936691096	0.0013775144238266025	-0.4426271142369742
6	61-80	0.0006237330422579137	0.000819273351005769	-0.39341620047154374
6	81-100	0.0007016996725401528	0.0005014813659753622	0.48465759492547167
6	>100/none	0.010135661936691097	0.0027107438016528928	1.9026796385092586
7-8	1	0.0	0.0	
7-8	2	0.0	0.0	
7-8	3	0.0	0.0	
7-8	4	0.0	0.0	
7-8	5	0.0	0.0	
7-8	6	0.0	0.0	
7-8	7-8	0.008498362700764072	0.0025417121472009973	1.7413842654332115
7-8	9-10	0.010525495088102292	0.004576329331046312	1.2016253118910356
7-8	11-15	0.01832215811632621	0.00785279900202713	1.222310568620708
7-8	16-20	0.007718696397941681	0.004037112116014346	0.935033559954223
7-8	21-30	0.006159363792296897	0.005053796974894746	0.2854136326339869
7-8	31-40	0.003430531732418525	0.0026206143770466242	0.3885271345037216
7-8	41-60	0.004132231404958678	0.003224699828473413	0.35775617402298965
7-8	61-80	0.0008576329331046312	0.001699360673631686	-0.9865598722771435
7-8	81-100	0.001559332605644784	0.0011641977233743956	0.4215925862463798
7-8	>100/none	0.018400124746608452	0.005622641509433963	1.710395576287172
9-10	1	0.0	0.0	
9-10	2	0.0	0.0	
9-10	3	0.0	0.0	
9-10	4	0.0	0.0	
9-10	5	0.0	0.0	
9-10	6	0.0	0.0	
9-10	7-8	0.0	0.0	
9-10	9-10	0.0028847653204428503	0.0013304225791361296	1.1165693999504656
9-10	11-15	0.012552627475440512	0.006181818181818182	1.0218862483258682
9-10	16-20	0.006237330422579136	0.003904568844534538	0.6757654377294692
9-10	21-30	0.006237330422579136	0.004577888663651956	0.44624631139525306
9-10	31-40	0.002806798690160611	0.0024016840792140956	0.2248792048078252
9-10	41-60	0.004132231404958678	0.00297770154373928	0.47272188814350957
9-10	61-80	0.002650865429596133	0.001724933728364261	0.6199224991965006
9-10	81-100	0.0006237330422579137	0.0010843598939653818	-0.7978430670655393
9-10	>100/none	0.012318727584593793	0.005370965226882891	1.1975999598851614
11-15	1	0.0	0.0	
11-15	2	0.0	0.0	
11-15	3	0.0	0.0	
11-15	4	0.0	0.0	
11-15	5	0.0	0.0	
11-15	6	0.0	0.0	
11-15	7-8	0.0	0.0	
11-15	9-10	0.0	0.0	
11-15	11-15	0.012474660845158272	0.006476532044285039	0.9457071804339607
11-15	16-20	0.014501793232496491	0.008813347887104318	0.7184692505488169
11-15	21-30	0.012084827693747077	0.011556525806954623	0.06448915194708828
11-15	31-40	0.0043661312958053955	0.0059404334944643715	-0.4442126985506434
11-15	41-60	0.005223764228910027	0.0072365507562763155	-0.47021242886604464
11-15	61-80	0.0024949321690316546	0.003963823483549041	-0.667892125230234
11-15	81-100	0.00194916575705598	0.002625604241384688	-0.4297926918876833
11-15	>100/none	0.022766256042413845	0.0131673163885857	0.7899357148207129
16-20	1	0.0	0.0	
16-20	2	0.0	0.0	
16-20	3	0.0	0.0	
16-20	4	0.0	0.0	
16-20	5	0.0	0.0	
16-20	6	0.0	0.0	
16-20	7-8	0.0	0.0	
16-20	9-10	0.0	0.0	
16-20	11-15	0.0	0.0	
16-20	16-20	0.003820364883829721	0.0031935131763605185	0.25856603388993266
16-20	21-30	0.011071261500077966	0.010377670357087159	0.0933370024061353
16-20	31-40	0.0027288320598783723	0.0056956182753781365	-1.0615688492680022
16-20	41-60	0.003430531732418525	0.006522376422891002	-0.9269654936185072
16-20	61-80	0.0013254327147980665	0.003684391080617495	-1.474962770710283
16-20	81-100	0.0017152658662092624	0.0024035552783408702	-0.48673777232258886
16-20	>100/none	0.011928894433182598	0.012452518322158117	-0.06197719310865939
21-30	1	0.0	0.0	
21-30	2	0.0	0.0	
21-30	3	0.0	0.0	
21-30	4	0.0	0.0	
21-30	5	0.0	0.0	
21-30	6	0.0	0.0	
21-30	7-8	0.0	0.0	
21-30	9-10	0.0	0.0	
21-30	11-15	0.0	0.0	
21-30	16-20	0.0	0.0	
21-30	21-30	0.008030562919070637	0.008696397941680964	-0.11491683868269544
21-30	31-40	0.007562763137377203	0.01193170123187276	-0.6578144182322725
21-30	41-60	0.007406829876812724	0.013615468579447997	-0.8783185276461922
21-30	61-80	0.0033525651021362856	0.007393419616404174	-1.14097644885252
21-30	81-100	0.002650865429596133	0.004850460003118665	-0.8716581405958708
21-30	>100/none	0.016996725401528145	0.024005925463901442	-0.49813373238052816
31-40	1	0.0	0.0	
31-40	2	0.0	0.0	
31-40	3	0.0	0.0	
