distance_aa	sites_total	prob_neighbor_within_x	mean_other_methyl_args_within_x	sites_with_neighbor_within_x	ordered_neighbor_pairs_within_x	null_mean_prob_neighbor_within_x	null_sd_prob_neighbor_within_x	null_q025_prob_neighbor_within_x	null_q975_prob_neighbor_within_x	null_mean_other_methyl_args_within_x	null_sd_other_methyl_args_within_x	null_q025_other_methyl_args_within_x	null_q975_other_methyl_args_within_x	empirical_p_greater_prob_neighbor_within_x	empirical_p_greater_other_methyl_args_within_x	delta_prob_neighbor_within_x_vs_null	ratio_prob_neighbor_within_x_vs_null	delta_other_methyl_args_within_x_vs_null	ratio_other_methyl_args_within_x_vs_null	restrict_context	null_match_disorder
17	12826	0.5083424294401996	1.0311866521128956	6520	13226	0.2938359582098861	0.003537519479996798	0.28761889911118044	0.30135661936691094	0.5498393887416185	0.007592773237153116	0.5352136285669734	0.563788398565414	0.009900990099009901	0.009900990099009901	0.21450647123031347	1.7300211741855371	0.4813472633712771	1.8754324866992615	all	True
18	12826	0.5141119600810853	1.0714174333385311	6594	13742	0.3026563230937159	0.0035443003136379934	0.29638819585217524	0.310237018556058	0.5775253391548417	0.007784180107020923	0.5645368782161235	0.5912404490877904	0.009900990099009901	0.009900990099009901	0.2114556369873694	1.6986658491912403	0.4938920941836894	1.855186882200628	all	True
19	12826	0.5191018244191486	1.1074380165289257	6658	14204	0.310175424918135	0.003625758569349553	0.30339739591454856	0.3173280835802277	0.6023873382192422	0.007809816323029775	0.5890768750974583	0.6170435053796975	0.009900990099009901	0.009900990099009901	0.20892639950101366	1.673574960221803	0.5050506783096835	1.8384151629127827	all	True
20	12826	0.5247154217994698	1.148292530796819	6730	14728	0.3183424294401996	0.0036891361398418724	0.311490332137845	0.3258264462809917	0.6325432714798066	0.008057161482480826	0.6196436924996102	0.6497388117885544	0.009900990099009901	0.009900990099009901	0.20637299235927026	1.6482735987225268	0.5157492593170124	1.8153580672993963	all	True
21	12826	0.530329019179791	1.1858724465928583	6802	15210	0.32587088726025265	0.0035484059237183225	0.32012708560736003	0.3325276781537502	0.6581022922189302	0.008189127496170557	0.6434780913768907	0.6743528769686574	0.009900990099009901	0.009900990099009901	0.20445813191953838	1.627420674606782	0.527770154373928	1.8019576297089621	all	True
22	12826	0.535552783408701	1.2243879619522844	6869	15704	0.333485888039919	0.003654293414881158	0.3275670513020427	0.3408818025884921	0.6839279588336191	0.008432301555950726	0.6679985966006549	0.7004015281459535	0.009900990099009901	0.009900990099009901	0.20206689536878203	1.6059233767175005	0.5404600031186653	1.7902294329952146	all	True
23	12826	0.539762981443942	1.2602526118821145	6923	16164	0.34013644160299394	0.0037489241557982123	0.3340051457975986	0.34785396850148137	0.7082597848121004	0.008785519564582131	0.6901528145953532	0.724859660065492	0.009900990099009901	0.009900990099009901	0.19962653984094803	1.5869013590550565	0.5519928270700141	1.7793649151157953	all	True
24	12826	0.5450647123031342	1.2967409948542024	6991	16632	0.3474481521908623	0.003909556016428865	0.3407570559800405	0.3552763917043505	0.7349103383751754	0.009385193597895773	0.7171331670045221	0.7528535786683299	0.009900990099009901	0.009900990099009901	0.19761656011227197	1.568765609677832	0.561830656479027	1.7644887099032884	all	True
25	12826	0.550210509901762	1.3310463121783878	7057	17072	0.3538975518478092	0.003896221827774982	0.34673514735693123	0.3613616871978793	0.7610338375175428	0.009530914104128414	0.7440160611258382	0.78029003586465	0.009900990099009901	0.009900990099009901	0.19631295805395282	1.554716914623856	0.5700124746608449	1.7489975432895326	all	True
26	12826	0.5543427413067207	1.3669109621082176	7110	17532	0.3599664743489786	0.0040194063652282536	0.3527463745516919	0.3672793544363013	0.785052237642289	0.009650124161646866	0.7677140184001248	0.8038515515359426	0.009900990099009901	0.009900990099009901	0.19437626695774207	1.5399843619028228	0.5818587244659286	1.7411719839349773	all	True
27	12826	0.5584749727116795	1.3990332137845003	7163	17944	0.3656354280368002	0.004080419483285513	0.357835646343365	0.3740644004366131	0.809792608763449	0.009620059594654156	0.7932285981599876	0.8294168096054888	0.009900990099009901	0.009900990099009901	0.19283954467487924	1.5274093533832025	0.5892406050210512	1.7276438419471623	all	True
28	12826	0.5621394043349447	1.4342741306720723	7210	18396	0.37163340090441294	0.0040041928530345685	0.36427374083892095	0.37925502884765316	0.8355636987369407	0.00968229274095804	0.8195540308747856	0.8546857944799626	0.009900990099009901	0.009900990099009901	0.19050600343053176	1.5126180880591285	0.5987104319351316	1.716534757122835	all	True
29	12826	0.5651021362856697	1.4671760486511773	7248	18818	0.3777795103695618	0.003944211475344996	0.37156946826758147	0.38534617183845316	0.8607937002962731	0.009585347961727584	0.8431896148448464	0.8805863090597225	0.009900990099009901	0.009900990099009901	0.18732262591610793	1.4958517356668182	0.6063823483549042	1.7044456158847305	all	True
30	12826	0.5678309683455481	1.4936847029471387	7283	19158	0.38316934352097304	0.003898007899787017	0.37632933104631217	0.3906186652112896	0.8839357554966475	0.009868132219060816	0.8648253547481678	0.9037462965850616	0.009900990099009901	0.009900990099009901	0.1846616248245751	1.4819321481403105	0.6097489474504912	1.6898113846609792	all	True
31	12826	0.5709496335568377	1.5262747544051145	7323	19576	0.38851941369094023	0.003855336810960175	0.38170513020427255	0.3965733665990956	0.9087213472633714	0.009901223278236972	0.8899851863402464	0.9286995166068922	0.009900990099009901	0.009900990099009901	0.18243021986589747	1.4695523915595559	0.6175534071417431	1.6795850114025768	all	True
32	12826	0.5739123655075627	1.559020739123655	7361	19996	0.3934087010759395	0.003976954683799104	0.3868626227974427	0.4012981443941993	0.9318509278029004	0.00988457114803812	0.9125643224699829	0.9506744113519413	0.009900990099009901	0.009900990099009901	0.18050366443162325	1.4588197056596892	0.6271698113207547	1.6730366334446682	all	True
33	12826	0.5773428972399813	1.5870887260252613	7405	20356	0.39844066739435513	0.003840490620038886	0.39177452050522377	0.40597614221113365	0.9551426789334165	0.010042046583243218	0.9358217682831749	0.9750233899890847	0.009900990099009901	0.009900990099009901	0.1789022298456262	1.4490059486537261	0.6319460470918448	1.6616247614414243	all	True
34	12826	0.5800717292998596	1.6164041790113832	7440	20732	0.403520193357243	0.0038211181976841174	0.39708014969593014	0.4103013410260409	0.9785560580071728	0.010260391788922194	0.9588102292218931	0.9994698269140808	0.009900990099009901	0.009900990099009901	0.17655153594261663	1.4375283786264266	0.6378481210042104	1.6518258364300422	all	True
35	12826	0.5828785279900203	1.6500857632933104	7476	21164	0.40820520817090283	0.0038711852537570545	0.4016801808825822	0.41503976298144396	1.0022922189302979	0.010185337075883625	0.9827186963979417	1.0230703259005145	0.009900990099009901	0.009900990099009901	0.17467331981911743	1.4279056619630075	0.6477935443630125	1.6463120556342081	all	True
36	12826	0.5865429596132855	1.6779978169343521	7523	21522	0.41326290347731165	0.0038661694416004953	0.40698581007328866	0.4207566661468891	1.0250366443162326	0.01009245666725476	1.0051964759083114	1.0466981132075472	0.009900990099009901	0.009900990099009901	0.17328005613597386	1.4192973883645161	0.6529611726181195	1.6370125168097651	all	True
37	12826	0.5904412911273975	1.7020115390612818	7573	21830	0.41803757991579604	0.003860079986544091	0.41158194292842665	0.4257426321534383	1.0463542803680026	0.00990864239796491	1.0257952596288789	1.068454701387806	0.009900990099009901	0.009900990099009901	0.17240371121160147	1.412411992353243	0.6556572586932792	1.6266111497748972	all	True
38	12826	0.5928582566661469	1.7314829253079682	7604	22208	0.42264384843287073	0.0039530448465780205	0.4163749415250273	0.4304615624512709	1.0706206143770465	0.010078492256501035	1.0494347419304537	1.092795883361921	0.009900990099009901	0.009900990099009901	0.17021440823327616	1.4027372192081287	0.6608623109309217	1.6172703029031927	all	True
39	12826	0.5962108217682832	1.7612661780757837	7647	22590	0.4273600498986434	0.003910187723679374	0.42054810541088417	0.4348647278964603	1.0947793544363014	0.010493478149280323	1.0736862622797443	1.1171799469826913	0.009900990099009901	0.009900990099009901	0.16885077186963982	1.3951019097589632	0.6664868236394823	1.6087864380513957	all	True
40	12826	0.5999532200218306	1.7952596288788398	7695	23026	0.4319943864026196	0.0039278646057327405	0.42491813503820364	0.4395466240449088	1.1187681272415406	0.010823751707935217	1.095680648682364	1.1420707937002963	0.009900990099009901	0.009900990099009901	0.167958833619211	1.3887986485608472	0.6764915016372992	1.6046753435005978	all	True
41	12826	0.6014345859971932	1.8234835490410104	7714	23388	0.4362630594105723	0.004061444659551491	0.4289938406362077	0.444429284266334	1.1401824419148605	0.010955542432827835	1.118103851551536	1.164521284890067	0.009900990099009901	0.009900990099009901	0.16517152658662093	1.3786053460721186	0.6833011071261499	1.599291027476788	all	True
42	12826	0.6039295181662249	1.8510837361609231	7746	23742	0.4409005145797599	0.003989633032537597	0.4338687041946047	0.44910338375175424	1.1637642289100265	0.011009797512420172	1.141049430843599	1.18830110712615	0.009900990099009901	0.009900990099009901	0.163029003586465	1.369763695426517	0.6873195072508966	1.5906003038902778	all	True
43	12826	0.6058007172929986	1.8766567908934977	7770	24070	0.44535240916887575	0.003930677041115359	0.437778730703259	0.45362349914236705	1.1851380009355994	0.011043558503040651	1.1630828005613598	1.2104670201153906	0.009900990099009901	0.009900990099009901	0.1604483081241228	1.3602726847791262	0.6915187899578983	1.5834922088499257	all	True
44	12826	0.6087634492437237	1.9044129112739747	7808	24426	0.4496686418213005	0.004019912287053401	0.4421370653360362	0.4580578512396694	1.2074832371744892	0.011041596767548824	1.1867924528301887	1.231822080149696	0.009900990099009901	0.009900990099009901	0.1590948074224232	1.353804541001656	0.6969296740994855	1.5771754444643893	all	True
45	12826	0.6102448152190862	1.9282707001403399	7827	24732	0.4535381256822079	0.004087863838557177	0.4453590363324497	0.4617573678465617	1.2281225635428037	0.011406963961203607	1.2070481833775144	1.2538749415250272	0.009900990099009901	0.009900990099009901	0.15670668953687833	1.3455204329319868	0.7001481365975362	1.5700963058424697	all	True
46	12826	0.6123499142367067	1.952440355527834	7854	25042	0.4574637455169187	0.004049267696173204	0.44909753625448307	0.46542764696709804	1.250943396226415	0.011564521874099048	1.2292803680024948	1.2757835646343365	0.009900990099009901	0.009900990099009901	0.154886168719788	1.338575833030816	0.7014969593014191	1.5607743415230049	all	True
47	12826	0.6146109465148917	1.9783252767815376	7883	25374	0.4614766879775456	0.0040190129028345525	0.4534968033681584	0.46937080929362235	1.2731436145329798	0.011861763050496757	1.2532862934663964	1.2991969437080928	0.009900990099009901	0.009900990099009901	0.15313425853734608	1.331835307236142	0.7051816622485578	1.553890114358572	all	True
48	12826	0.6163262123811009	2.0018711991267737	7905	25676	0.4652752222048962	0.004103337265879492	0.45690589427724937	0.4729494776235771	1.2942335880243256	0.012042894406035766	1.2726960860751597	1.3202167472321846	0.009900990099009901	0.009900990099009901	0.15105099017620466	1.3246486874164243	0.707637611102448	1.5467618965002072	all	True
49	12826	0.6183533447684391	2.0251052549508812	7931	25974	0.46909948542024005	0.004174020663344449	0.46073405582410726	0.4775534071417433	1.3172150319663183	0.012356153729787817	1.2932948697957274	1.3435755496647435	0.009900990099009901	0.009900990099009901	0.14925385934819901	1.3181710148637038	0.707890222984563	1.5374143217359395	all	True
50	12826	0.6203025105254951	2.0483393107749883	7956	26272	0.4724458131919539	0.004202199733317003	0.4648253547481678	0.4808319039451115	1.3375440511461094	0.012654830152241196	1.31295025728988	1.3636441602993918	0.009900990099009901	0.009900990099009901	0.14785669733354123	1.312960117763743	0.7107952596288789	1.5314182056432575	all	True
51	12826	0.6217838765008576	2.072353032901918	7975	26580	0.4760431935131765	0.004232813464928187	0.46824419148604396	0.4840285357866833	1.3598175580851393	0.012799726188101674	1.3348549820676752	1.3856619366910963	0.009900990099009901	0.009900990099009901	0.14574068298768117	1.3061501245551308	0.7125354748167789	1.523993436163711	all	True
52	12826	0.6232652424762202	2.0982379541556213	7994	26912	0.4795353188835179	0.004234765909753257	0.4714037891782317	0.48722516762825513	1.380343053173242	0.012792711338823108	1.354732574458132	1.406751910182442	0.009900990099009901	0.009900990099009901	0.14372992359270226	1.2997275027152173	0.7178949009823794	1.520084408967775	all	True
53	12826	0.6256822080149695	2.124746608451583	8025	27252	0.48282395134882267	0.004283551485311001	0.47483821924216435	0.4907492593170123	1.4010229221893036	0.012904386664322991	1.3747816934352097	1.4264813659753626	0.009900990099009901	0.009900990099009901	0.14285825666614688	1.2958806336492967	0.7237236862622793	1.5165680552402063	all	True
54	12826	0.6274754405114611	2.145641665367223	8048	27520	0.4858794635895838	0.004229171425944883	0.4775514579759863	0.4936418213004834	1.4202229845626073	0.013185109485000889	1.3933962264150945	1.4462848900670513	0.009900990099009901	0.009900990099009901	0.1415959769218773	1.2914220244580694	0.7254186808046157	1.5107780177406622	all	True
55	12826	0.630048339310775	2.172462186184313	8081	27864	0.4889256198347108	0.004232277645080644	0.48093131139872136	0.496727350693903	1.4405925463901448	0.013227746069913265	1.412673475752378	1.4645719631997505	0.009900990099009901	0.009900990099009901	0.1411227194760642	1.2886384221873524	0.7318696397941684	1.508033754324286	all	True
56	12826	0.6317636051769843	2.1970996413535007	8103	28180	0.4921604553251209	0.004250712806923947	0.4845879463589584	0.5000565258069546	1.4619554030874784	0.013395609257298676	1.4334905660377357	1.4845665055356307	0.009900990099009901	0.009900990099009901	0.13960314985186334	1.2836537319107477	0.7351442382660223	1.502849975254706	all	True
57	12826	0.633946670824887	2.219398097614221	8131	28466	0.49525962887883984	0.004205411727872292	0.4874278808669889	0.5033642600966786	1.4815811632621234	0.013709659850438677	1.4532161234991423	1.5065219086231092	0.009900990099009901	0.009900990099009901	0.13868704194604714	1.2800289663423696	0.7378169343520977	1.4979929231332716	all	True
58	12826	0.6350382036488383	2.243411819741151	8145	28774	0.498349446436925	0.004135878565387928	0.49016450958989555	0.5062412287540933	1.5018462498050835	0.013981202719799581	1.47298066427569	1.5261967877748324	0.009900990099009901	0.009900990099009901	0.13668875721191331	1.2742829518306964	0.7415655699360675	1.4937692989760512	all	True
59	12826	0.6367534695150475	2.2652424762201777	8167	29054	0.501413535007017	0.00408127915771004	0.4933085139560268	0.5086542959613286	1.5207890222984561	0.01418303413386919	1.49143926399501	1.545891158584126	0.009900990099009901	0.009900990099009901	0.1353399345080305	1.2699167953376778	0.7444534539217216	1.4895179035396942	all	True
60	12826	0.6387026352721036	2.290347731171059	8192	29376	0.5048471854046468	0.00401549064963423	0.497144472165913	0.5120516918758771	1.5410852954935288	0.014264408883240943	1.5102643068766568	1.5667979104943084	0.009900990099009901	0.009900990099009901	0.1338554498674568	1.265140529128965	0.7492624356775301	1.4861914119020783	all	True
61	12826	0.6398721347263371	2.3118665211289566	8207	29652	0.5078083580227662	0.003985381174759681	0.5004639014501793	0.5145427257133947	1.5593980976142208	0.014312284758722652	1.5295766411975673	1.5851824419148604	0.009900990099009901	0.009900990099009901	0.13206377670357083	1.2600661738175845	0.7524684235147359	1.4825377334151968	all	True
62	12826	0.640807734289724	2.331358178699517	8219	29902	0.5105551224076095	0.00398598823351362	0.5031518010291596	0.5169596912521441	1.5778200530173085	0.014488472070097368	1.5484211757367847	1.6037696865741462	0.009900990099009901	0.009900990099009901	0.13025261188211457	1.2551195868291092	0.7535381256822082	1.4775817902942712	all	True
63	12826	0.6422111336348043	2.352097302354592	8237	30168	0.5133237174489319	0.0040651378829687475	0.5053796974894745	0.519848354904101	1.5955746140651796	0.014560269791888526	1.5656712926867302	1.6217565881802587	0.009900990099009901	0.009900990099009901	0.1288874161858724	1.2510840855482093	0.7565226882894125	1.4741380826822983	all	True
64	12826	0.6436924996101668	2.3717448931857166	8256	30420	0.5161453297988462	0.00400277301739499	0.5084457352253235	0.522807188523312	1.6140495867768592	0.014779582175193151	1.583564634336504	1.6420746920318103	0.009900990099009901	0.009900990099009901	0.12754716981132064	1.2471148384913775	0.7576953064088574	1.4694374402225896	all	True
65	12826	0.645017932324965	2.3945111492281304	8273	30712	0.5187501949165757	0.004064739103966486	0.510583970060814	0.5253391548417278	1.634327147980664	0.014820776095076966	1.6030796818961486	1.662369405894277	0.009900990099009901	0.009900990099009901	0.12626773740838926	1.2434075951117385	0.7601840012474663	1.465135760723752	all	True
66	12826	0.6471230313425854	2.4115078746296583	8300	30930	0.5213277717137066	0.0040838768665444935	0.5132543271479807	0.5278750194916576	1.6512895680648685	0.014913788140198777	1.6210120068610634	1.6800366443162325	0.009900990099009901	0.009900990099009901	0.12579525962887883	1.2412978292243384	0.7602183065647898	1.460378555806952	all	True
67	12826	0.6487603305785123	2.434118197411508	8321	31220	0.5239544674879152	0.0040274011743528645	0.5166400280679869	0.5308825822547949	1.6699407453609856	0.014918711001035796	1.6390846717604866	1.699442538593482	0.009900990099009901	0.009900990099009901	0.12480586309059716	1.2381998261966833	0.7641774520505222	1.4576075254007486	all	True
68	12826	0.6500077966630282	2.4542335880243256	8337	31478	0.5266489942304693	0.004043269716542875	0.5193240293154531	0.5343209106502417	1.6877031030718854	0.015209028840476603	1.6570598783720567	1.7180336815842818	0.009900990099009901	0.009900990099009901	0.12335880243255892	1.2342334340024872	0.7665304849524401	1.4541856227894787	all	True
69	12826	0.6520349290503664	2.4760642445033527	8363	31758	0.5291330110712614	0.00396935430205598	0.5217858256666147	0.5370419460470919	1.7061281771401837	0.015354094342278312	1.674368470294714	1.7359075315764851	0.009900990099009901	0.009900990099009901	0.12290191797910499	1.232270365687982	0.769936067363169	1.45127680187179	all	True
70	12826	0.6535162950257289	2.4960237018556057	8382	32014	0.5319476064244503	0.003944633646527807	0.5245555902073912	0.5395817090285357	1.7237236862622796	0.015602098693613462	1.6913223140495868	1.7538905348510838	0.009900990099009901	0.009900990099009901	0.12156868860127867	1.2285350796451877	0.7723000155933262	1.4480416564141905	all	True
71	12826	0.655153594261656	2.5122407609543114	8403	32222	0.5343528769686574	0.003908224581948031	0.5272103539685015	0.5418310463121784	1.7389630438172463	0.015724083943294907	1.7060034305317324	1.7685911429908	0.009900990099009901	0.009900990099009901	0.12080071729299857	1.226069181059325	0.7732777171370651	1.4446774874753068	all	True
72	12826	0.657102760018712	2.5301730859192264	8428	32452	0.5367815375019492	0.0038913810902070694	0.5293778262903477	0.5440920785903633	1.7559644472165914	0.01608771967297455	1.7211211601434586	1.7861804147824731	0.009900990099009901	0.009900990099009901	0.1203212225167628	1.2241530568966819	0.774208638702635	1.440902228931711	all	True
73	12826	0.6592078590363325	2.547949477623577	8455	32680	0.5392437236862623	0.0039060609761458896	0.5325491189770778	0.5468579447996258	1.772580695462342	0.016035871311264143	1.7385622953375954	1.8024871355060033	0.009900990099009901	0.009900990099009901	0.11996413535007022	1.222467374362741	0.7753687821612352	1.4374236863495773	all	True
74	12826	0.6602214252300016	2.565569936067363	8468	32906	0.5417651645095899	0.003870493005368322	0.5348764228910027	0.5493197411507874	1.7899033213784503	0.016047110273202058	1.7557500389833152	1.8184975830344612	0.009900990099009901	0.009900990099009901	0.11845626072041171	1.218648721771617	0.7756666146889128	1.433356710066079	all	True
75	12826	0.6614688913145174	2.5842819273351005	8484	33146	0.5442928426633401	0.0038796139644670146	0.5372115234679558	0.5519569624200842	1.8067285201933572	0.01602796706944267	1.773779822236083	1.8350927802900359	0.009900990099009901	0.009900990099009901	0.11717604865117726	1.215281259400381	0.7775534071417434	1.4303653805489986	all	True
76	12826	0.6619366910962108	2.5989396538281615	8490	33334	0.5465990955870886	0.003947306348824208	0.5395797598627787	0.5544148604397318	1.8221783876500859	0.016343130872725167	1.7882738188055511	1.8508693279276471	0.009900990099009901	0.009900990099009901	0.11533759550912215	1.211009488380585	0.7767612661780756	1.4262816810047896	all	True
77	12826	0.6635739903321378	2.617963511617028	8511	33578	0.5488796195228441	0.003909816720913639	0.5423495244035552	0.5569643692499611	1.8384921253703417	0.016387684670868652	1.804974271012007	1.866509433962264	0.009900990099009901	0.009900990099009901	0.11469437080929368	1.2089608845542499	0.7794713862466862	1.4239731981934223	all	True
78	12826	0.6645875565258069	2.636051769842507	8524	33810	0.5511437704662404	0.0038947143106550356	0.5442947918290971	0.5594670980820209	1.8557289879931391	0.016534724104560444	1.8227896460314985	1.8856697333541244	0.009900990099009901	0.009900990099009901	0.11344378605956651	1.205833381666636	0.7803227818493681	1.4204939335960047	all	True
79	12826	0.6656790893497583	2.654763761110245	8538	34050	0.5534757523779823	0.00394180211773402	0.5464992983003274	0.5619464369249961	1.8739310774988305	0.016713626899195155	1.840842819273351	1.9032434118197412	0.009900990099009901	0.009900990099009901	0.11220333697177598	1.202724936891453	0.7808326836114146	1.4166816447985942	all	True
80	12826	0.6672384219554031	2.671136753469515	8558	34260	0.5557367846561673	0.004030284086020078	0.5485576173397786	0.5640378917823171	1.8915733665990957	0.01703048709151339	1.8570949633556837	1.921167940121628	0.009900990099009901	0.009900990099009901	0.11150163729923579	1.2006374967030868	0.7795633868704193	1.4121243196990105	all	True
81	12826	0.6688757211913301	2.688445345392172	8579	34482	0.5578223920162171	0.004003386181299028	0.550732886324653	0.5658155309527522	1.9059878372056758	0.0170613687481071	1.8724972711679402	1.935934819897084	0.009900990099009901	0.009900990099009901	0.11105332917511301	1.1990836702946204	0.7824575081864962	1.4105259713166054	all	True
82	12826	0.6704350537969749	2.707001403399345	8599	34720	0.5600569156401061	0.0039702834939636805	0.5532823951348823	0.5683026664587557	1.9227272727272726	0.01719281030300024	1.8879580539529082	1.9531459535318885	0.009900990099009901	0.009900990099009901	0.11037813815686881	1.1970837875124072	0.7842741306720724	1.407896710987839	all	True
83	12826	0.6719164197723374	2.721347263371277	8618	34904	0.5621581163262124	0.0038862653422011015	0.5555063932636831	0.5701738655855294	1.9383876500857633	0.017099643620035	1.9025923904568844	1.9692967409948543	0.009900990099009901	0.009900990099009901	0.10975830344612503	1.1952445410971062	0.7829596132855137	1.4039231333582176	all	True
84	12826	0.6727740527054421	2.7355371900826446	8629	35086	0.5644300639326368	0.0038571266123561187	0.5574419148604397	0.5721756588180259	1.953977857477	0.016964478140777575	1.9198035240916886	1.9855800717293	0.009900990099009901	0.009900990099009901	0.10834398877280527	1.1919529020440978	0.7815593326056447	1.399983720191591	all	True
