occupancy_k	distance_aa	sites_with_at_least_k_neighbors	sites_total	observed_fraction	null_mean_fraction	null_q025_fraction	null_q975_fraction	empirical_p_greater	log2_observed_over_null	delta_fraction_vs_null	q_value
2	8	1542	12826	0.12022454389521285	0.0429284266334009	0.039624590675191015	0.04641548417277405	0.00398406374501992	1.4857262502068356	0.07729611726181196	0.00649575610601074
2	10	2008	12826	0.1565569936067363	0.05739934508030563	0.053268750974582876	0.06104787151099329	0.00398406374501992	1.4475817758715053	0.09915764852643068	0.00649575610601074
2	15	2858	12826	0.22282862934663963	0.09099610166848589	0.0857554966474349	0.09561242788086699	0.00398406374501992	1.2920579583808809	0.13183252767815373	0.00649575610601074
2	20	3420	12826	0.2666458755652581	0.11836519569624201	0.11305161390924684	0.12418329954779354	0.00398406374501992	1.1716800820073197	0.14828067986901608	0.00649575610601074
2	30	4085	12826	0.31849368470294714	0.16659348198970841	0.1609582098861687	0.17297286761266178	0.00398406374501992	0.9349328100675023	0.15190020271323873	0.00649575610601074
2	40	4566	12826	0.3559956338687042	0.20603680024949322	0.20023584905660377	0.21339271791673164	0.00398406374501992	0.7889575069734313	0.14995883361921097	0.00649575610601074
2	50	4891	12826	0.3813347887104319	0.2420074847965071	0.2360829564946203	0.24881685638546702	0.00398406374501992	0.6560064845907249	0.1393273039139248	0.00649575610601074
2	75	5542	12826	0.43209106502416966	0.3111448619990644	0.3052744425385935	0.3177822392016217	0.00398406374501992	0.4737489756374428	0.12094620302510528	0.00649575610601074
2	100	5948	12826	0.46374551691875876	0.3638431311398721	0.3572099641353501	0.3707215811632621	0.00398406374501992	0.35001676024542316	0.09990238577888666	0.00649575610601074
3	1	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
3	2	1	12826	7.79666302822392e-05	0.00024200842039607049	0.0	0.0005457664119756744	0.9561752988047809	-1.6341285575250406	-0.00016404179011383126	1.0
3	3	16	12826	0.0012474660845158273	0.0007110556681740216	0.00017347575237798226	0.0013078902229845632	0.05179282868525897	0.810966175609983	0.0005364104163418057	0.08092629482071713
3	4	67	12826	0.005223764228910027	0.0021921097770154375	0.0013254327147980665	0.003118665211289568	0.00398406374501992	1.2527697355355678	0.0030316544518945894	0.00649575610601074
3	5	142	12826	0.011071261500077966	0.0038362700764072977	0.002572898799313894	0.005223764228910027	0.00398406374501992	1.5290434215407778	0.007234991423670668	0.00649575610601074
3	6	251	12826	0.019569624200842038	0.006370809293622329	0.004833931077498831	0.008030562919070637	0.00398406374501992	1.619067494900443	0.013198814907219709	0.00649575610601074
3	8	544	12826	0.04241384687353813	0.01260408545142679	0.0105605800717293	0.014640184001247466	0.00398406374501992	1.7506438987026962	0.02980976142211134	0.00649575610601074
3	10	826	12826	0.06440043661312958	0.020129424606268518	0.01722282862934664	0.022766256042413845	0.00398406374501992	1.677764535524704	0.044271012006861066	0.00649575610601074
3	15	1498	12826	0.11679401216279432	0.039238733821924214	0.0358042257913613	0.04286410416341806	0.00398406374501992	1.573615917802423	0.07755527834087012	0.00649575610601074
3	20	1966	12826	0.15328239513488226	0.05730516139092468	0.05303485108373616	0.06128177140184001	0.00398406374501992	1.4194550180398013	0.09597723374395759	0.00649575610601074
3	30	2627	12826	0.20481833775144237	0.09026227974426945	0.08548651177296117	0.09471191330110713	0.00398406374501992	1.1821497660732643	0.11455605800717292	0.00649575610601074
3	40	3049	12826	0.23772025573054734	0.11946764384843288	0.11422111336348043	0.1241228754093248	0.00398406374501992	0.9926449008588188	0.11825261188211446	0.00649575610601074
3	50	3398	12826	0.2649306096990488	0.14682020895056916	0.1412151099329487	0.15264111960081087	0.00398406374501992	0.851563979776485	0.11811040074847964	0.00649575610601074
3	75	4007	12826	0.3124122875409325	0.20493778262903478	0.19900592546390145	0.21072625916107907	0.00398406374501992	0.6082652112445825	0.1074745049118977	0.00649575610601074
3	100	4437	12826	0.3459379385622953	0.24806174957118352	0.2425035084983627	0.2539977389677218	0.00398406374501992	0.4798139480349878	0.0978761889911118	0.00649575610601074
4	1	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
4	2	0	12826	0.0	1.6840792140963668e-05	0.0	0.0001559332605644784	1.0		-1.6840792140963668e-05	1.0
4	3	0	12826	0.0	0.00011227194760642445	0.0	0.0003722906595976926	1.0		-0.00011227194760642445	1.0
4	4	6	12826	0.0004677997816934352	0.0002875409324808982	0.0	0.0007016996725401528	0.27091633466135456	0.7021238449539052	0.00018025884921253702	0.4189427855587957
4	5	21	12826	0.0016372992359270232	0.0006948386090753158	0.0001559332605644784	0.001169499454233588	0.00398406374501992	1.2365681901008154	0.0009424606268517074	0.00649575610601074
4	6	49	12826	0.003820364883829721	0.0015356307500389835	0.0008576329331046312	0.002338998908467176	0.00398406374501992	1.3148790822928378	0.0022847341337907372	0.00649575610601074
4	8	160	12826	0.012474660845158272	0.0038016528925619835	0.0025124746608451583	0.004989864338063309	0.00398406374501992	1.714301874041875	0.008673007952596288	0.00649575610601074
4	10	330	12826	0.025728987993138937	0.007471074380165289	0.005925463901450179	0.008966162482457508	0.00398406374501992	1.784007081929516	0.018257913612973648	0.00649575610601074
4	15	774	12826	0.060346171838453144	0.018800249493216903	0.016450958989552473	0.021448619990644006	0.00398406374501992	1.682510446421067	0.04154592234523624	0.00649575610601074
4	20	1183	12826	0.09223452362388898	0.03084297520661157	0.027522220489630437	0.034192265710276004	0.00398406374501992	1.5803649175869177	0.06139154841727741	0.00649575610601074
4	30	1784	12826	0.13909246842351475	0.05360548885077187	0.04968228598159987	0.057816154685794485	0.00398406374501992	1.375591667092817	0.08548697957274287	0.00649575610601074
4	40	2197	12826	0.17129268673007952	0.07544425385934819	0.07059488538905348	0.07986316856385467	0.00398406374501992	1.182980628935113	0.09584843287073133	0.00649575610601074
4	50	2504	12826	0.19522844222672697	0.09645095898955247	0.09147239981288008	0.10174645251832216	0.00398406374501992	1.0172957621411163	0.0987774832371745	0.00649575610601074
4	75	3071	12826	0.2394355215967566	0.14544269452674255	0.14033993450803056	0.1510720411663808	0.00398406374501992	0.7191863672154991	0.09399282707001405	0.00649575610601074
4	100	3405	12826	0.2654763761110245	0.18143926399501012	0.17567636051769842	0.18732652424762203	0.00398406374501992	0.5490967928098746	0.08403711211601436	0.00649575610601074
5	1	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
5	2	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
5	3	0	12826	0.0	9.979728676126618e-06	0.0	0.0001559332605644784	1.0		-9.979728676126618e-06	1.0
5	4	0	12826	0.0	2.463745516918759e-05	0.0	0.0003118665211289568	1.0		-2.463745516918759e-05	1.0
5	5	0	12826	0.0	0.00011663807890222985	0.0	0.0006061905504444103	1.0		-0.00011663807890222985	1.0
5	6	5	12826	0.000389833151411196	0.00038421955403087477	1.7542491813503862e-05	0.0008576329331046312	0.5179282868525896	0.020925838854547896	5.613597380321224e-06	0.7847398285645296
5	8	26	12826	0.0020271323873382193	0.0011514111960081086	0.0006237330422579137	0.0019316232652424768	0.01593625498007968	0.8160371651574049	0.0008757211913301107	0.02543019411714843
5	10	94	12826	0.007328863246530485	0.002722906595976922	0.0017152658662092624	0.003820364883829721	0.00398406374501992	1.428441950123195	0.004605956650553563	0.00649575610601074
5	15	373	12826	0.02908155309527522	0.009084671760486511	0.0071729299859660065	0.010819819117417745	0.00398406374501992	1.678598023889614	0.01999688133478871	0.00649575610601074
5	20	683	12826	0.053251208482769374	0.01725806954623421	0.014735693123343208	0.01972555746140652	0.00398406374501992	1.6255431697190883	0.03599313893653516	0.00649575610601074
5	30	1201	12826	0.09363792296896928	0.03429814439419929	0.03111843131139872	0.037640339934508035	0.00398406374501992	1.4489624081396095	0.05933977857476999	0.00649575610601074
5	40	1608	12826	0.12537034149384063	0.05115328239513488	0.047733120224543894	0.055104865117729614	0.00398406374501992	1.293297371564672	0.07421705909870575	0.00649575610601074
5	50	1924	12826	0.15000779666302821	0.06698643380633089	0.06297169811320755	0.07094963355683767	0.00398406374501992	1.1630966333314845	0.08302136285669733	0.00649575610601074
5	75	2433	12826	0.18969281147668798	0.10344051146109466	0.09864532979884609	0.10832098861687199	0.00398406374501992	0.8748636943111001	0.08625230001559332	0.00649575610601074
5	100	2724	12826	0.2123811008888196	0.13326025261188212	0.12864493996569468	0.1383810229221893	0.00398406374501992	0.6724088575270724	0.07912084827693747	0.00649575610601074
6	1	0	12826	0.0	0.0	0.0	0.0	1.0		0.0	1.0
