entrez_id	gene_symbol	is_methylarginine_protein	contributing_term_count	contributing_term_ids	contributing_term_names
345643	MCIDAS	False	2	C0002736;C0338451	Amyotrophic Lateral Sclerosis;Frontotemporal dementia
8888	MCM3AP	True	1	C4024896	Motor neuron atrophy
57192	MCOLN1	False	1	C0002736	Amyotrophic Lateral Sclerosis
90550	MCU	False	1	C0002736	Amyotrophic Lateral Sclerosis
4190	MDH1	True	1	C0002736	Amyotrophic Lateral Sclerosis
4193	MDM2	False	1	C4024896	Motor neuron atrophy
4194	MDM4	False	1	C4024896	Motor neuron atrophy
4204	MECP2	True	2	C0002736;C4082299	Amyotrophic Lateral Sclerosis;Bulbar palsy
219541	MED19	False	1	C0002736	Amyotrophic Lateral Sclerosis
4205	MEF2A	False	1	C0002736	Amyotrophic Lateral Sclerosis
4208	MEF2C	True	2	C0002736;C0338451	Amyotrophic Lateral Sclerosis;Frontotemporal dementia
4233	MET	False	1	C0002736	Amyotrophic Lateral Sclerosis
151194	METTL21A	False	4	C1842675;C1862939;C1862941;C3542025	AMYOTROPHIC LATERAL SCLEROSIS 6 (disorder);AMYOTROPHIC LATERAL SCLEROSIS 1;Amyotrophic Lateral Sclerosis, Sporadic;AMYOTROPHIC LATERAL SCLEROSIS 1, AUTOSOMAL RECESSIVE
4236	MFAP1	True	2	C0002736;C0085084	Amyotrophic Lateral Sclerosis;Motor Neuron Disease
4240	MFGE8	False	1	C0751072	Frontotemporal Lobar Degeneration
55669	MFN1	True	1	C0002736	Amyotrophic Lateral Sclerosis
9927	MFN2	True	2	C0002736;C0085084	Amyotrophic Lateral Sclerosis;Motor Neuron Disease
256471	MFSD8	False	2	C0338451;C0751072	Frontotemporal dementia;Frontotemporal Lobar Degeneration
8972	MGAM	False	1	C0002736	Amyotrophic Lateral Sclerosis
11343	MGLL	False	1	C0002736	Amyotrophic Lateral Sclerosis
23295	MGRN1	False	1	C0002736	Amyotrophic Lateral Sclerosis
